1: Simpson>Kiss>Smith>Montroll>Write-In
1: Simpson>Kiss>Smith>Wright
1: Simpson>Kiss>Montroll>Smith
1: Simpson>Kiss>Montroll>Smith>Wright
1: Simpson>Kiss>Montroll>Wright>Write-In
1: Simpson>Kiss>Wright>Montroll>Smith
1: Simpson>Montroll>Smith
1: Simpson>Montroll>Smith>Wright>Kiss
1: Simpson>Montroll>Wright>Smith>Kiss
1: Simpson>Montroll>Wright>Kiss>Write-In
1: Simpson>Write-In
1: Simpson>Wright>Kiss>Smith>Montroll
1: Write-In>Smith
1: Write-In>Smith>Kiss>Wright>Montroll
1: Write-In>Kiss>Smith>Simpson>Montroll
1: Write-In>Kiss>Montroll
1: Write-In>Kiss>Wright>Montroll
1: Write-In>Montroll>Kiss>Smith>Simpson
1: Write-In>Montroll>Kiss>Wright
1: Write-In>Wright>Smith>Simpson>Montroll
1: Write-In>Wright>Simpson>Montroll>Kiss
1: Wright=Write-In>Smith>Montroll>Simpson>Kiss
1: Wright=Write-In>Montroll
1: Wright=Write-In>Montroll>Kiss>Smith
1: Wright>Smith>Kiss=Montroll
1: Wright>Smith>Kiss>Montroll>Write-In
1: Wright>Smith>Montroll>Write-In>Kiss
1: Wright>Smith>Montroll>Write-In>Simpson
1: Wright>Smith>Simpson>Montroll>Write-In
1: Wright>Smith>Write-In>Montroll
1: Wright>Smith>Write-In>Montroll>Simpson
1: Wright>Smith>Write-In>Simpson
1: Wright>Kiss>Simpson>Montroll
1: Wright>Kiss>Simpson>Montroll>Smith
1: Wright>Montroll>Smith>Kiss>Write-In
1: Wright>Montroll>Kiss>Smith>Write-In
1: Wright>Montroll>Kiss>Simpson
1: Wright>Montroll>Simpson>Smith
1: Wright>Montroll>Write-In>Smith>Kiss
1: Wright>Simpson>Smith>Montroll>Write-In
1: Wright>Simpson>Smith>Write-In>Montroll
1: Wright>Simpson>Kiss
1: Wright>Simpson>Kiss>Smith>Montroll
1: Wright>Simpson>Montroll
1: Wright>Simpson>Montroll>Smith
1: Wright>Write-In>Smith>Montroll>Simpson
1: Wright>Write-In>Kiss
1: Wright>Write-In>Montroll
1: Wright>Write-In>Montroll>Smith>Simpson
1: Wright>Write-In>Simpson
