0 0.920973 	Random Pair
0.312211 1.06334 	Keener(0.001, +0, norm)(tourn-wv)
0.312251 1.0917 	[Smith(wv)],[L-R offense/1.5(w/tv)]
0.312541 1.08946 	L-R offense/1(w/tv)
0.312754 1.08793 	[Smith(wv)],[L-R offense/1(w/tv)]
0.313237 1.08941 	[Smith(wv)],[L-R offense/0.25(w/tv)]
0.313329 1.08942 	[Smith(wv)],[L-R offense/0.75(w/tv)]
0.313343 1.08913 	L-R offense/0.25(w/tv)
0.31347 1.08934 	L-R offense/0.5(w/tv)
0.313516 1.08934 	L-R offense/0.75(w/tv)
0.313552 1.08933 	[Smith(wv)],[L-R offense/0.5(w/tv)]
0.314012 0.84534 	[Smith(wv)],[Maximin(rel-margins)]
0.314551 0.846195 	[Smith(wv)],[Maximin(fwv)]
0.316312 1.07745 	Ext-Minmin(w/tv)
0.316443 0.844344 	[Smith(wv)],[Maximin(wv)]
0.316479 1.05335 	2. order Copeland/2/1
0.316529 1.05323 	[Smith(wv)],[2. order Copeland/2/1]
0.316544 1.07801 	[Smith(wv)],[Ext-Minmin(w/tv)]
0.316559 1.05312 	[Smith(wv)],[2. order Copeland/2/1]
0.316608 1.05312 	[Smith(wv)],[2. order Copeland/2/1]
0.31663 1.05319 	[Smith(wv)],[2. order Copeland/2/1]
0.316636 1.05327 	2. order Copeland/2/1
0.316643 1.05309 	[Smith(wv)],[2. order Copeland/2/1]
0.316647 1.0531 	[Smith(wv)],[2. order Copeland/2/1]
0.31665 1.05301 	2. order Copeland/2/1
0.316717 1.05314 	2. order Copeland/2/1
0.316725 1.05312 	2. order Copeland/2/1
0.316734 1.05329 	2. order Copeland/2/1
0.31674 1.05322 	[Smith(wv)],[2. order Copeland/2/1]
0.31686 1.053 	2. order Copeland/2/1
0.31734 1.06274 	[Smith(wv)],[L-R both/1.25(tourn-wv)]
0.317391 1.06272 	[Smith(wv)],[L-R both/0.5(tourn-wv)]
0.317449 1.06283 	[Smith(wv)],[L-R both/1(tourn-wv)]
0.317473 1.0415 	[Smith(wv)],[Sinkhorn(0.001, +0)(tourn-wv)]
0.317481 1.06265 	L-R both/2.25(tourn-wv)
0.317495 1.06281 	L-R both/1.5(tourn-wv)
0.317499 1.0628 	[Smith(wv)],[L-R both/0.25(tourn-wv)]
0.317507 1.06275 	L-R both/1.75(tourn-wv)
0.317507 1.06285 	[Smith(wv)],[L-R both/0.75(tourn-wv)]
0.317536 1.06266 	L-R both/1.25(tourn-wv)
0.317537 1.0628 	L-R both/0.75(tourn-wv)
0.317556 1.06261 	[Smith(wv)],[L-R both/2.25(tourn-wv)]
0.317578 1.06285 	[Smith(wv)],[L-R both/2(tourn-wv)]
0.317588 1.06281 	[Smith(wv)],[L-R both/1.5(tourn-wv)]
0.317591 1.06282 	[Smith(wv)],[L-R both/1.75(tourn-wv)]
0.317609 1.06268 	L-R both/0.5(tourn-wv)
0.317617 1.06282 	L-R both/2(tourn-wv)
0.317656 1.06275 	L-R both/1(tourn-wv)
0.317688 1.06257 	L-R both/0.25(tourn-wv)
0.31911 1.05644 	Gradual-[2. order Copeland/2/1](None, cardinal)
0.319137 1.05593 	[Smith(wv)],[Gradual-[2. order Copeland/2/1](None, cardinal)]
0.319556 1.07713 	ODM-arctan(0.001)(fwv)
0.319728 1.07752 	[Smith(wv)],[ODM-arctan(0.001)(fwv)]
0.320396 1.05839 	Gradual-[2. order Copeland/2/1](None, ordinal)
0.320791 1.05837 	[Smith(wv)],[Gradual-[2. order Copeland/2/1](None, ordinal)]
0.321903 1.08627 	ODM-arctan(0.001)(wv)
0.321941 1.08626 	[Smith(wv)],[ODM-arctan(0.001)(wv)]
0.322084 1.07931 	Dodgson-Quick(w/tv)
0.322183 1.08857 	ODM-arctan(0.001)(w/tv)
0.322256 1.08842 	[Smith(wv)],[ODM-arctan(0.001)(w/tv)]
0.322781 1.08724 	Sinkhorn(0.001, +1)(fwv)
0.322866 1.08728 	[Smith(wv)],[Sinkhorn(0.001, +1)(fwv)]
0.323288 1.07851 	[Smith(wv)],[Dodgson-Quick(w/tv)]
0.323966 1.12052 	L-R offense/2.25(keener)
0.324441 0.735345 	River(tourn-wv)
0.324585 1.08924 	L-R both/1(fwv)
0.32468 1.08896 	[Smith(wv)],[L-R both/1(fwv)]
0.324755 1.089 	[Smith(wv)],[L-R both/1.25(w/tv)]
0.32482 1.09056 	L-R both/1.5(wv)
0.324821 1.08899 	L-R both/1.25(w/tv)
0.324833 1.08914 	L-R both/1.25(wv)
0.324839 1.1055 	[Smith(wv)],[L-R offense/2.25(keener)]
0.32488 1.09102 	L-R both/1.75(wv)
0.324905 1.0907 	L-R both/1.5(fwv)
0.324958 1.0892 	[Smith(wv)],[L-R both/1.25(fwv)]
0.325025 1.08917 	L-R both/1.25(fwv)
0.325025 1.09035 	L-R both/1.5(w/tv)
0.325105 1.08905 	[Smith(wv)],[L-R both/1.25(wv)]
0.325191 1.08106 	L-R defense/0.25(w/tv)
0.32523 1.08099 	[Smith(wv)],[L-R defense/0.75(w/tv)]
0.325232 1.09089 	L-R both/1.75(fwv)
0.325243 1.09526 	L-R both/2.25(w/tv)
0.325244 1.09539 	L-R both/2.25(wv)
0.325246 1.08871 	[Smith(wv)],[L-R both/1(wv)]
0.325252 1.08109 	[Smith(wv)],[L-R defense/0.5(w/tv)]
0.32526 1.08958 	[Smith(wv)],[L-R both/1.75(w/tv)]
0.325277 1.09544 	L-R both/2.25(fwv)
0.325333 1.08893 	[Smith(wv)],[L-R both/1(w/tv)]
0.325337 1.08868 	L-R both/1(wv)
0.325392 1.09096 	L-R both/1.75(w/tv)
0.325393 1.08084 	L-R defense/0.75(w/tv)
