0 0.224663 0.259653	[SDom(wv)],[Random Pair]
0.435468 0.466114 0.0383447	[MDD(sum)(wv)],[2. order Copeland]
0.435495 0.466251 0.0383447	2. order Copeland/2/1
0.435497 0.466455 0.0383447	[Schwartz(wv)],[2. order Copeland/2/1]
0.435535 0.465964 0.0383447	[MDD(sum)(wv)],[2. order Copeland]
0.435543 0.466144 0.0383447	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.435558 0.466204 0.0383447	[MDD(sum)(wv)],[2. order Copeland]
0.435566 0.466209 0.0383447	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.435573 0.466151 0.0383447	[SDom(wv)],[2. order Copeland/2/1]
0.435579 0.466454 0.0383447	2. order Copeland/2/1
0.435602 0.466171 0.0383447	[Schwartz(wv)],[2. order Copeland/2/1]
0.435602 0.466201 0.0383447	[Schwartz(wv)],[2. order Copeland/2/1]
0.435604 0.466295 0.0383447	[SDom(wv)],[2. order Copeland/2/1]
0.435609 0.466482 0.0383447	[SDom(wv)],[2. order Copeland/2/1]
0.43562 0.466355 0.0383447	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.435652 0.466266 0.0383447	2. order Copeland/2/1
0.435688 0.466131 0.0383447	[SDom(wv)],[2. order Copeland/2/1]
0.43569 0.466167 0.0383447	[Schwartz(wv)],[2. order Copeland/2/1]
0.435718 0.46612 0.0383447	[SDom(wv)],[2. order Copeland/2/1]
0.435721 0.465966 0.0383447	[Schwartz(wv)],[2. order Copeland/2/1]
0.43574 0.466204 0.0383447	2. order Copeland/2/1
0.435741 0.466149 0.0383447	[MDD(sum)(wv)],[2. order Copeland]
0.435783 0.466045 0.0383447	[MDD(sum)(wv)],[2. order Copeland]
0.435824 0.466069 0.0383447	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.43586 0.465996 0.0383447	2. order Copeland/2/1
0.435904 0.465988 0.0383447	[MDD(sum)(wv)],[2. order Copeland/2/1]
0.438941 0.408848 0.0197011	[MDD(sum)(wv)],[Gradual-[Schwartz(wv)](None, cardinal)]
0.439666 0.432043 0.0252705	[Schwartz(wv)],[L-R defense/0.5(rel-margins)]
0.43967 0.431672 0.0252705	[SDom(wv)],[L-R defense/0.5(rel-margins)]
0.439778 0.431589 0.0252705	L-R defense/0.5(rel-margins)
0.440285 0.408351 0.0197038	[MDD(sum)(wv)],[Gradual-[Schwartz(wv)](None, ordinal)]
0.440553 0.431503 0.0250683	[MDD(sum)(wv)],[Schulze(wv)]
0.440691 0.431278 0.0250683	[MDD(sum)(wv)],[Schulze(PO)]
0.44089 0.431329 0.0250683	[MDD(sum)(wv)],[Schulze(rel-margins)]
0.441011 0.432337 0.0255199	[MDD(sum)(wv)],[Minmax(rel-margins)]
0.441071 0.432179 0.0254949	[Schwartz(wv)],[L-R defense/0.25(fwv)]
0.441086 0.432169 0.0254949	[Schwartz(wv)],[L-R defense/1.75(fwv)]
0.441088 0.432141 0.0254949	[Schwartz(wv)],[L-R defense/0.25(rel-margins)]
0.441088 0.432198 0.0254949	[SDom(wv)],[L-R defense/1.75(fwv)]
0.441089 0.432169 0.0254949	[MDD(sum)(wv)],[L-R defense/1.5(fwv)]
0.441091 0.432184 0.0254949	L-R defense/1.25(fwv)
0.441092 0.432064 0.0254949	[MDD(sum)(wv)],[L-R defense/1.5(wv)]
0.441093 0.432122 0.0254949	[MDD(sum)(wv)],[L-R defense/2(rel-margins)]
0.441095 0.43214 0.0254949	[MDD(sum)(wv)],[L-R defense/0.25(fwv)]
0.441097 0.432106 0.0254949	[SDom(wv)],[L-R defense/1.5(wv)]
0.441097 0.432138 0.0254949	[Schwartz(wv)],[L-R defense/2(fwv)]
0.441103 0.432116 0.0254949	[MDD(sum)(wv)],[Ext-Minmax(rel-margins)]
0.441105 0.389468 0.0211814	[MDD(sum)(wv)],[HITS(0.001)(fwv)]
0.441105 0.432135 0.0254949	[SDom(wv)],[L-R defense/1(fwv)]
0.441106 0.432093 0.0254949	[SDom(wv)],[L-R defense/0.25(rel-margins)]
0.441106 0.432139 0.0254949	[MDD(sum)(wv)],[L-R defense/2(wv)]
0.441108 0.432132 0.0254949	[Schwartz(wv)],[L-R defense/0.75(fwv)]
0.441108 0.43216 0.0254949	[SDom(wv)],[L-R defense/0.25(fwv)]
0.441109 0.432105 0.0254949	[SDom(wv)],[L-R defense/2.25(wv)]
0.441111 0.432147 0.0254949	[Schwartz(wv)],[L-R defense/1.5(wv)]
0.441111 0.432172 0.0254949	[MDD(sum)(wv)],[Ext-Minmin(wv)]
0.441113 0.432131 0.0254949	[SDom(wv)],[L-R defense/1.5(fwv)]
0.441113 0.432148 0.0254949	[Schwartz(wv)],[Ext-Minmin(rel-margins)]
0.441113 0.432199 0.0254949	[SDom(wv)],[Ext-Minmin(fwv)]
0.441114 0.432158 0.0254949	[MDD(sum)(wv)],[L-R defense/0.5(fwv)]
0.441115 0.432209 0.0254949	[Schwartz(wv)],[L-R defense/0.5(wv)]
0.441118 0.432014 0.0254949	[SDom(wv)],[L-R defense/2(wv)]
0.44112 0.432157 0.0254949	[SDom(wv)],[L-R defense/0.5(fwv)]
0.441121 0.432201 0.0254949	L-R defense/1.25(wv)
0.441122 0.432099 0.0254949	[MDD(sum)(wv)],[L-R defense/2.25(wv)]
0.441123 0.432126 0.0254949	[SDom(wv)],[L-R defense/1.25(wv)]
0.441124 0.432158 0.0254949	L-R defense/0.25(fwv)
0.441124 0.432166 0.0254949	[MDD(sum)(wv)],[L-R defense/1.25(rel-margins)]
0.441126 0.432099 0.0254949	L-R defense/2(fwv)
0.441126 0.432158 0.0254949	[MDD(sum)(wv)],[L-R defense/1.25(fwv)]
0.441127 0.432162 0.0254949	[Schwartz(wv)],[L-R defense/1.5(fwv)]
0.441127 0.432195 0.0254949	[MDD(sum)(wv)],[L-R defense/0.5(wv)]
0.441129 0.432236 0.0254949	[MDD(sum)(wv)],[L-R defense/0.25(wv)]
0.44113 0.432132 0.0254949	L-R defense/0.75(fwv)
0.441132 0.432109 0.0254949	L-R defense/1.75(fwv)
0.441133 0.432111 0.0254949	[Schwartz(wv)],[L-R defense/2(wv)]
0.441135 0.432192 0.0254949	L-R defense/2.25(fwv)
0.441136 0.432016 0.0254949	Ext-Minmin(rel-margins)
0.441136 0.432196 0.0254949	[Schwartz(wv)],[L-R defense/0.75(wv)]
0.441139 0.432136 0.0254949	[MDD(sum)(wv)],[L-R defense/2.25(rel-margins)]
0.44114 0.432079 0.0254949	[SDom(wv)],[L-R defense/0.75(wv)]
0.441141 0.432124 0.0254949	L-R defense/0.5(wv)
0.441141 0.432131 0.0254949	[MDD(sum)(wv)],[L-R defense/1.75(wv)]
0.441141 0.432164 0.0254949	[SDom(wv)],[L-R defense/1.75(wv)]
0.441143 0.432114 0.0254949	[SDom(wv)],[L-R defense/0.5(wv)]
0.441145 0.432087 0.0254949	L-R defense/0.5(fwv)
0.441145 0.432165 0.0254949	[MDD(sum)(wv)],[L-R defense/1.25(wv)]
0.441145 0.432174 0.0254949	[MDD(sum)(wv)],[L-R defense/0.75(wv)]
0.441146 0.432069 0.0254949	[MDD(sum)(wv)],[L-R defense/1.5(rel-margins)]
0.441146 0.432204 0.0254949	L-R defense/0.25(rel-margins)
0.441147 0.432095 0.0254949	[Schwartz(wv)],[L-R defense/0.5(fwv)]
0.441148 0.432193 0.0254949	L-R defense/0.75(wv)
0.441149 0.432161 0.0254949	L-R defense/1.5(wv)
0.441149 0.432163 0.0254949	[MDD(sum)(wv)],[L-R defense/1.75(rel-margins)]
0.441154 0.432078 0.0254949	[MDD(sum)(wv)],[Ext-Minmax(fwv)]
0.441154 0.432128 0.0254949	L-R defense/2(wv)
0.441156 0.432041 0.0254949	L-R defense/1.75(wv)
0.441156 0.432156 0.0254949	[Schwartz(wv)],[L-R defense/1.25(wv)]
0.441157 0.432135 0.0254949	[MDD(sum)(wv)],[L-R defense/0.75(rel-margins)]
0.441158 0.43205 0.0254949	[SDom(wv)],[L-R defense/2.25(fwv)]
0.441159 0.432146 0.0254949	[Schwartz(wv)],[L-R defense/0.25(wv)]
0.44116 0.43209 0.0254949	L-R defense/0.25(wv)
0.44116 0.432101 0.0254949	[SDom(wv)],[L-R defense/0.75(fwv)]
0.441161 0.432097 0.0254949	[SDom(wv)],[Ext-Minmin(rel-margins)]
0.441161 0.432124 0.0254949	[Schwartz(wv)],[L-R defense/1(wv)]
0.441163 0.432172 0.0254949	L-R defense/2.25(wv)
0.441165 0.432031 0.0254949	[MDD(sum)(wv)],[Ext-Minmin(rel-margins)]
0.441165 0.432207 0.0254949	[MDD(sum)(wv)],[L-R defense/1.75(fwv)]
0.441166 0.432359 0.0255199	[MDD(sum)(wv)],[Minmax(wv)]
