0 0.451169 	Gradual-[CGTT(wv)](None, cardinal)
0.746469 0.57553 	[Smith(wv)],[L-R offense/0.5(keener)]
0.746478 0.419062 	[CDTT(wv)],[AVGEliminate-[Antiplurality]/fd]
0.74659 0.4208 	[CGTT(wv)],[AVGEliminate-[Antiplurality]/fd]
0.746649 0.573509 	[CDTT(wv)],[L-R defense/1.25(keener)]
0.746773 0.613958 	L-R both/0.75(rel-margins)
0.746909 0.5733 	[Schwartz(wv)],[L-R defense/1.25(keener)]
0.746943 0.574979 	[Schwartz(wv)],[L-R defense/0.5(keener)]
0.746951 0.559851 	[Smith(wv)],[L-R defense/0.25(rel-margins)]
0.746955 0.574667 	[CDTT(wv)],[ODM(0.001)(keener)]
0.747013 0.573147 	[CGTT(wv)],[L-R defense/1.25(keener)]
0.74702 0.617635 	[Condorcet],[NREM-Opt]
0.747061 0.57703 	[Smith(wv)],[L-R defense/2(keener)]
0.747062 0.575028 	[CDTT(wv)],[L-R defense/0.5(keener)]
0.747084 0.574239 	[Schwartz(wv)],[ODM-arctan(0.001)(keener)]
0.747116 0.574463 	[CDTT(wv)],[L-R offense/0.75(keener)]
0.74715 0.562159 	L-R defense/0.25(rel-margins)
0.747152 0.574928 	[CGTT(wv)],[L-R defense/0.5(keener)]
0.747155 0.576887 	[Smith(wv)],[L-R defense/1.75(keener)]
0.747192 0.638673 	NREM-Opt
0.747241 0.574619 	[Schwartz(wv)],[L-R offense/0.75(keener)]
0.747271 0.370167 	[Smith(wv)],[Antiplurality]
0.747271 0.574579 	[CGTT(wv)],[L-R offense/0.75(keener)]
0.747281 0.576248 	[Smith(wv)],[L-R offense/0.25(keener)]
0.747387 0.580694 	[Smith(wv)],[HITS(0.001)(keener)]
0.747399 0.575752 	[Schwartz(wv)],[L-R offense/1.5(keener)]
0.747407 0.574637 	[CDTT(wv)],[ODM-arctan(0.001)(keener)]
0.747442 0.574947 	[CGTT(wv)],[L-R offense/1.5(keener)]
0.747499 0.574612 	[CGTT(wv)],[ODM(0.001)(keener)]
0.747556 0.573409 	[Schwartz(wv)],[L-R defense/1.5(keener)]
0.747682 0.573346 	[CDTT(wv)],[L-R defense/1.5(keener)]
0.747737 0.580133 	[Smith(wv)],[L-R offense/1.75(keener)]
0.747757 0.724992 	[SDom(wv)],[L-R defense/2(rel-margins)]
0.747767 0.57492 	[Schwartz(wv)],[ODM(0.001)(keener)]
0.747768 0.573049 	[CGTT(wv)],[L-R defense/1.5(keener)]
0.747809 0.581339 	[Condorcet],[L-R offense/1.75(keener)]
0.747828 0.556393 	[Condorcet],[L-R defense/1.5(wv)]
0.747828 0.575395 	[CDTT(wv)],[L-R offense/1.5(keener)]
0.747901 0.580154 	[Smith(wv)],[L-R defense/0.25(keener)]
0.74794 0.577799 	[Smith(wv)],[L-R offense/1.5(keener)]
0.747944 0.555823 	L-R defense/1.5(wv)
0.748064 0.576631 	[Smith(wv)],[ODM-arctan(0.001)(keener)]
0.748066 0.556471 	L-R defense/1.5(fwv)
0.748071 0.577441 	[Smith(wv)],[ODM(0.001)(keener)]
0.748285 0.574483 	[Schwartz(wv)],[L-R both/2.25(keener)]
0.748299 0.574273 	[Schwartz(wv)],[Keener(0.001, +1, norm)(keener)]
0.74831 0.574742 	[Schwartz(wv)],[L-R both/1.5(keener)]
0.748361 0.574639 	[Schwartz(wv)],[L-R offense/1.25(keener)]
0.748373 0.574609 	[CGTT(wv)],[L-R both/1.5(keener)]
0.748389 0.442023 	[CGTT(wv)],[Eliminate-[Antiplurality]/fd]
0.748389 0.574423 	[CDTT(wv)],[Sinkhorn(0.001, +1)(keener)]
0.748392 0.574428 	[CDTT(wv)],[L-R both/1.5(keener)]
0.748396 0.574872 	[CGTT(wv)],[L-R both/0.25(keener)]
0.748397 0.574579 	[CGTT(wv)],[L-R defense/1(keener)]
0.748398 0.574444 	[Schwartz(wv)],[L-R defense/0.75(keener)]
0.748406 0.574341 	[Schwartz(wv)],[L-R both/1.75(keener)]
0.748411 0.584988 	[Condorcet],[HITS(0.001)(keener)]
0.748412 0.574543 	[CDTT(wv)],[Keener(0.001, +1, norm)(keener)]
0.748418 0.57466 	[Schwartz(wv)],[L-R both/1(keener)]
0.748427 0.574682 	[CGTT(wv)],[L-R offense/1.25(keener)]
0.748432 0.574515 	[CDTT(wv)],[L-R both/2(keener)]
0.74844 0.574243 	[Schwartz(wv)],[L-R both/2(keener)]
0.748448 0.574292 	[CGTT(wv)],[L-R both/0.75(keener)]
0.748449 0.574566 	[Schwartz(wv)],[L-R both/0.75(keener)]
0.74845 0.574529 	[CDTT(wv)],[L-R both/0.5(keener)]
0.74845 0.574538 	[CDTT(wv)],[L-R both/1.75(keener)]
0.74846 0.574637 	[CGTT(wv)],[L-R both/1.25(keener)]
0.748464 0.574406 	[CDTT(wv)],[L-R defense/1(keener)]
0.748467 0.574472 	[CGTT(wv)],[L-R offense/1(keener)]
0.748471 0.574681 	[Schwartz(wv)],[L-R both/0.25(keener)]
0.748471 0.576616 	[Smith(wv)],[L-R defense/1.25(keener)]
0.748474 0.574262 	[CGTT(wv)],[L-R both/1(keener)]
0.748474 0.57453 	[CGTT(wv)],[L-R both/1.75(keener)]
0.748476 0.574468 	[Schwartz(wv)],[L-R both/0.5(rel-margins)]
0.748486 0.574407 	[CDTT(wv)],[L-R offense/1.25(keener)]
0.748491 0.57442 	[CGTT(wv)],[L-R both/2.25(keener)]
0.748491 0.574473 	[Schwartz(wv)],[L-R defense/1(keener)]
0.748496 0.574611 	[CDTT(wv)],[L-R both/0.75(keener)]
0.748506 0.574491 	[CGTT(wv)],[Keener(0.001, +1, norm)(keener)]
0.748521 0.574503 	[CDTT(wv)],[L-R both/1(keener)]
0.748523 0.577912 	[Schwartz(wv)],[L-R offense/2(keener)]
0.748531 0.574499 	[Schwartz(wv)],[L-R offense/1(keener)]
0.748534 0.574814 	[Schwartz(wv)],[Sinkhorn(0.001, +1)(keener)]
0.748538 0.574484 	[CDTT(wv)],[L-R offense/1(keener)]
0.748549 0.574436 	[CDTT(wv)],[L-R both/2.25(keener)]
0.748552 0.574642 	[CGTT(wv)],[L-R both/0.5(rel-margins)]
0.748562 0.574486 	[Schwartz(wv)],[L-R both/1.25(keener)]
0.748565 0.574585 	[CDTT(wv)],[L-R both/1.25(keener)]
0.748568 0.574378 	[CGTT(wv)],[L-R both/0.5(keener)]
0.748573 0.574447 	[CGTT(wv)],[Sinkhorn(0.001, +1)(keener)]
0.748584 0.573926 	[CDTT(wv)],[Keener(0.001, +1, raw)(keener)]
0.748597 0.57463 	[Schwartz(wv)],[L-R both/0.5(keener)]
0.748601 0.574536 	[CDTT(wv)],[L-R both/0.5(rel-margins)]
0.748614 0.574349 	[CDTT(wv)],[L-R both/0.25(keener)]
0.748636 0.574598 	[CGTT(wv)],[L-R both/2(keener)]
0.748637 0.560002 	[CGTT(wv)],[L-R defense/0.25(rel-margins)]
0.748658 0.57439 	[CDTT(wv)],[L-R defense/0.75(keener)]
0.748693 0.574318 	[CGTT(wv)],[L-R defense/0.75(keener)]
0.74873 0.586512 	[Condorcet],[L-R defense/0.25(keener)]
0.748752 0.577412 	[Smith(wv)],[L-R offense/0.75(keener)]
0.748791 0.559795 	[Schwartz(wv)],[L-R defense/0.25(rel-margins)]
0.748791 0.577194 	[Smith(wv)],[L-R both/1.25(keener)]
0.748808 0.578805 	[Smith(wv)],[L-R defense/0.5(keener)]
0.748823 0.560312 	[CDTT(wv)],[L-R defense/0.25(rel-margins)]
0.748827 0.577222 	[Smith(wv)],[L-R both/2(keener)]
0.748863 0.577052 	[Smith(wv)],[L-R both/2.25(keener)]
0.748931 0.555909 	[Condorcet],[L-R defense/1.5(fwv)]
0.748933 0.577016 	[Smith(wv)],[L-R defense/1(keener)]
0.748957 0.577947 	[CDTT(wv)],[L-R offense/2(keener)]
0.748961 0.553676 	[MDD(sum)(wv)],[L-R defense/2.25(rel-margins)]
0.748987 0.577205 	[Smith(wv)],[L-R both/0.75(keener)]
0.74899 0.577035 	[Smith(wv)],[L-R both/1.5(keener)]
0.748992 0.577274 	[CGTT(wv)],[L-R offense/2(keener)]
0.749006 0.576882 	[Smith(wv)],[L-R both/1(keener)]
0.749099 0.577019 	[Smith(wv)],[L-R both/0.25(keener)]
0.749106 0.576726 	[Smith(wv)],[L-R both/1.75(keener)]
0.749127 0.57686 	[Smith(wv)],[L-R both/0.5(keener)]
0.749137 0.577486 	[Smith(wv)],[L-R offense/1(keener)]
0.74914 0.574325 	[Schwartz(wv)],[Keener(0.001, +1, raw)(keener)]
0.749146 0.573869 	[CGTT(wv)],[Keener(0.001, +1, raw)(keener)]
0.749219 0.588486 	L-R offense/1.75(keener)
0.749236 0.576699 	[Smith(wv)],[L-R offense/1.25(keener)]
0.749238 0.555609 	[MDD(sum)(wv)],[L-R defense/1.75(rel-margins)]
0.749244 0.555067 	[MDD(sum)(wv)],[L-R defense/1.5(fwv)]
0.749259 0.555124 	[MDD(sum)(wv)],[L-R defense/1.75(fwv)]
0.74926 0.555093 	[Smith(wv)],[L-R defense/2.25(wv)]
0.749261 0.57729 	[Smith(wv)],[Keener(0.001, +1, norm)(keener)]
0.749279 0.555129 	[Smith(wv)],[L-R defense/1.25(wv)]
0.749279 0.55515 	[MDD(sum)(wv)],[L-R defense/1.25(rel-margins)]
0.749282 0.555164 	[Smith(wv)],[L-R defense/2(fwv)]
0.749284 0.577636 	[Smith(wv)],[L-R both/0.5(rel-margins)]
0.749285 0.55511 	[MDD(sum)(wv)],[L-R defense/1.75(wv)]
0.749285 0.555145 	[Smith(wv)],[L-R defense/2.25(fwv)]
0.749289 0.555166 	[Smith(wv)],[L-R defense/1.25(fwv)]
0.74929 0.555122 	[MDD(sum)(wv)],[L-R defense/2(wv)]
0.749293 0.555146 	[Smith(wv)],[L-R defense/1.5(wv)]
0.749295 0.555156 	[Condorcet],[L-R defense/1.25(fwv)]
0.749295 0.555196 	[MDD(sum)(wv)],[L-R defense/2(fwv)]
0.749302 0.555121 	L-R defense/1.25(wv)
0.749303 0.555151 	[MDD(sum)(wv)],[L-R defense/1.25(fwv)]
0.749304 0.555163 	[Smith(wv)],[L-R defense/1.75(wv)]
0.749307 0.583577 	[Condorcet],[ODM-arctan(0.001)(keener)]
0.749315 0.555183 	[MDD(sum)(wv)],[L-R defense/2.25(fwv)]
0.749318 0.555162 	[Condorcet],[L-R defense/1.25(wv)]
0.749319 0.555173 	[MDD(sum)(wv)],[L-R defense/1.5(wv)]
0.749324 0.555209 	[MDD(sum)(wv)],[L-R defense/1.25(wv)]
0.749325 0.555169 	[Smith(wv)],[L-R defense/1.75(fwv)]
0.749326 0.555179 	L-R defense/1.25(fwv)
0.749326 0.55517 	[Smith(wv)],[L-R defense/2(wv)]
0.749332 0.555217 	[Smith(wv)],[L-R defense/1.5(fwv)]
0.749332 0.555219 	[MDD(sum)(wv)],[L-R defense/2.25(wv)]
0.74936 0.591468 	HITS(0.001)(keener)
0.749421 0.577404 	[Smith(wv)],[Sinkhorn(0.001, +1)(keener)]
0.74945 0.580322 	[Condorcet],[L-R offense/1.5(keener)]
0.749503 0.590267 	[Condorcet],[L-R offense/0.5(keener)]
0.74951 0.58412 	[Condorcet],[L-R defense/0.5(keener)]
0.749646 0.552267 	[Condorcet],[Dodgson-Quick(wv)]
0.749717 0.577865 	[CGTT(wv)],[L-R offense/2.25(keener)]
0.74975 0.57741 	[Smith(wv)],[L-R defense/0.75(keener)]
0.749769 0.583056 	[Condorcet],[L-R both/1.75(keener)]
0.749808 0.578028 	[CDTT(wv)],[L-R offense/2.25(keener)]
0.749899 0.581118 	[Smith(wv)],[L-R offense/2(keener)]
0.749957 0.583567 	[Condorcet],[L-R both/1.5(keener)]
0.749959 0.553134 	[MDD(sum)(wv)],[Dodgson-Quick(wv)]
0.749992 0.582383 	[Condorcet],[L-R offense/1.25(keener)]
0.75003 0.578156 	[Schwartz(wv)],[L-R offense/2.25(keener)]
0.750034 0.554749 	[MDD(sum)(wv)],[L-R defense/2(rel-margins)]
0.750077 0.554774 	[MDD(sum)(wv)],[L-R defense/1(fwv)]
0.750084 0.598854 	L-R defense/2.25(keener)
0.750098 0.587121 	ODM-arctan(0.001)(keener)
0.750155 0.554693 	L-R defense/1(fwv)
0.750178 0.557254 	[Smith(wv)],[L-R defense/0.75(fwv)]
0.750182 0.535555 	[MDD(sum)(wv)],[Copeland]
0.750188 0.555964 	[MDD(sum)(wv)],[L-R defense/1.5(rel-margins)]
0.750191 0.556719 	L-R defense/0.75(wv)
0.750223 0.584489 	[Condorcet],[L-R defense/0.75(keener)]
0.750252 0.555128 	[Condorcet],[L-R defense/1(fwv)]
0.750271 0.556701 	L-R defense/0.75(fwv)
0.750277 0.555175 	[Smith(wv)],[L-R defense/1(fwv)]
0.750282 0.53535 	[MDD(sum)(wv)],[L-R offense/0.75(tourn-wv)]
0.750305 0.554075 	[Schwartz(wv)],[L-R defense/2.25(fwv)]
0.750316 0.556768 	[MDD(sum)(wv)],[L-R defense/0.5(fwv)]
0.750329 0.556562 	L-R defense/0.5(wv)
0.750336 0.557063 	[Smith(wv)],[L-R defense/0.75(wv)]
0.750341 0.554349 	[CDTT(wv)],[L-R defense/1(fwv)]
0.750354 0.55691 	[Smith(wv)],[L-R defense/0.5(fwv)]
0.750363 0.576334 	[Smith(wv)],[L-R defense/1.5(keener)]
0.7504 0.535447 	[MDD(sum)(wv)],[L-R offense/2(tourn-wv)]
0.750454 0.53529 	[MDD(sum)(wv)],[Copeland]
0.750455 0.535243 	[MDD(sum)(wv)],[Copeland]
0.750462 0.535207 	[MDD(sum)(wv)],[L-R both/0.5(tourn-wv)]
0.750465 0.554648 	[Schwartz(wv)],[L-R defense/1(fwv)]
0.750473 0.586365 	L-R offense/1.5(keener)
0.750477 0.55614 	[Smith(wv)],[L-R defense/1(wv)]
0.750494 0.554582 	[CGTT(wv)],[L-R defense/2(wv)]
0.750502 0.535651 	[MDD(sum)(wv)],[L-R both/0.25(tourn-wv)]
0.750505 0.535446 	[MDD(sum)(wv)],[Copeland]
0.750506 0.587191 	[Condorcet],[L-R defense/1.75(keener)]
0.75051 0.557276 	L-R defense/0.5(fwv)
0.75052 0.535306 	[MDD(sum)(wv)],[L-R both/1.75(tourn-wv)]
0.750521 0.553267 	[Smith(wv)],[Dodgson-Quick(wv)]
0.750545 0.535587 	[MDD(sum)(wv)],[L-R offense/1(tourn-wv)]
0.750555 0.535745 	[MDD(sum)(wv)],[L-R offense/0.5(tourn-wv)]
0.750555 0.556709 	[Condorcet],[L-R defense/0.75(fwv)]
0.750563 0.535659 	[MDD(sum)(wv)],[L-R offense/0.25(tourn-wv)]
0.750581 0.535381 	[MDD(sum)(wv)],[L-R both/1.25(tourn-wv)]
0.750589 0.553675 	[CGTT(wv)],[L-R defense/2.25(wv)]
0.75059 0.557736 	[MDD(sum)(wv)],[L-R defense/0.5(wv)]
0.750596 0.554141 	[CDTT(wv)],[L-R defense/2(fwv)]
0.750596 0.556872 	[Condorcet],[L-R defense/0.5(fwv)]
0.750599 0.535622 	[MDD(sum)(wv)],[L-R offense/1.5(tourn-wv)]
0.750609 0.55615 	L-R defense/1(wv)
0.750656 0.535508 	[MDD(sum)(wv)],[Copeland]
0.75067 0.555646 	[Condorcet],[L-R defense/1(wv)]
0.750674 0.58707 	[Condorcet],[ODM(0.001)(keener)]
0.750687 0.535678 	[MDD(sum)(wv)],[Copeland]
0.750687 0.576896 	[Smith(wv)],[Keener(0.001, +1, raw)(keener)]
0.750701 0.555803 	[MDD(sum)(wv)],[L-R defense/1(wv)]
0.750703 0.584496 	[Condorcet],[L-R defense/1.25(keener)]
0.750711 0.587256 	L-R both/1.75(keener)
0.750727 0.535598 	[MDD(sum)(wv)],[L-R both/2(tourn-wv)]
0.750748 0.535749 	[MDD(sum)(wv)],[L-R offense/1.25(tourn-wv)]
0.750756 0.554612 	[CDTT(wv)],[L-R defense/1.75(fwv)]
0.750771 0.535371 	[MDD(sum)(wv)],[L-R offense/2.25(tourn-wv)]
0.750774 0.554345 	[CDTT(wv)],[L-R defense/2.25(fwv)]
0.750776 0.535649 	[MDD(sum)(wv)],[L-R both/2.25(tourn-wv)]
0.750789 0.583389 	[Condorcet],[L-R both/1.25(keener)]
0.75079 0.535542 	[MDD(sum)(wv)],[L-R offense/1.75(tourn-wv)]
0.750802 0.55519 	[CGTT(wv)],[L-R defense/1(fwv)]
0.750804 0.554315 	[CDTT(wv)],[L-R defense/1.25(wv)]
0.750816 0.553927 	[Schwartz(wv)],[L-R defense/2(wv)]
0.750827 0.535454 	[MDD(sum)(wv)],[L-R both/0.75(tourn-wv)]
0.750837 0.587208 	L-R offense/1.25(keener)
0.750839 0.55373 	[CGTT(wv)],[L-R defense/1.5(fwv)]
0.750842 0.556601 	[Condorcet],[L-R defense/0.75(wv)]
0.750848 0.535528 	[MDD(sum)(wv)],[L-R both/1(tourn-wv)]
0.750863 0.55658 	[MDD(sum)(wv)],[L-R defense/0.75(fwv)]
0.750869 0.55442 	[CDTT(wv)],[L-R defense/1.5(fwv)]
0.750873 0.556874 	[MDD(sum)(wv)],[L-R defense/0.75(wv)]
0.750899 0.554533 	[CGTT(wv)],[L-R defense/2.25(fwv)]
0.750899 0.55628 	[Condorcet],[L-R defense/0.5(wv)]
0.75091 0.554176 	[Schwartz(wv)],[L-R defense/1.25(wv)]
0.750912 0.586613 	[Condorcet],[L-R offense/1(keener)]
0.750919 0.554401 	[Schwartz(wv)],[L-R defense/1.25(fwv)]
0.750927 0.554555 	[CDTT(wv)],[L-R defense/2(wv)]
0.750928 0.535461 	[MDD(sum)(wv)],[L-R both/1.5(tourn-wv)]
0.750935 0.535566 	[MDD(sum)(wv)],[Copeland]
0.75094 0.593504 	[Condorcet],[L-R defense/2.25(keener)]
0.750956 0.554458 	[CGTT(wv)],[L-R defense/1.75(wv)]
0.750961 0.553986 	[Schwartz(wv)],[L-R defense/1.5(wv)]
0.750967 0.554374 	[Schwartz(wv)],[L-R defense/1.75(fwv)]
0.750972 0.554759 	[CDTT(wv)],[L-R defense/1.75(wv)]
0.75099 0.553792 	[Schwartz(wv)],[L-R defense/2(fwv)]
0.751015 0.554145 	[Schwartz(wv)],[L-R defense/1.5(fwv)]
0.751029 0.553115 	Dodgson-Quick(wv)
0.751056 0.554172 	[CGTT(wv)],[L-R defense/1.25(wv)]
0.751064 0.554719 	[CDTT(wv)],[L-R defense/1.25(fwv)]
0.751071 0.599449 	[Condorcet],[L-R defense/0.5(rel-margins)]
0.751072 0.553494 	[Schwartz(wv)],[L-R defense/2.25(wv)]
0.751113 0.557269 	[Smith(wv)],[L-R defense/0.5(wv)]
0.751118 0.586644 	[Condorcet],[L-R offense/0.75(keener)]
0.751127 0.587741 	[Condorcet],[L-R both/0.75(keener)]
0.751133 0.534095 	[Smith(wv)],[L-R both/0.25(tourn-wv)]
0.751147 0.534126 	[CGTT(wv)],[L-R both/1(tourn-wv)]
0.751156 0.534211 	[Condorcet],[L-R both/1.75(tourn-wv)]
0.751163 0.554383 	[CDTT(wv)],[L-R defense/2.25(wv)]
0.751169 0.534162 	[CDTT(wv)],[L-R both/0.25(tourn-wv)]
0.751184 0.586161 	[Condorcet],[Sinkhorn(0.001, +1)(keener)]
0.751192 0.534205 	[Schwartz(wv)],[L-R both/1.25(tourn-wv)]
0.75121 0.534002 	[Schwartz(wv)],[L-R both/1.5(tourn-wv)]
0.751211 0.554241 	[CGTT(wv)],[L-R defense/2(fwv)]
0.751218 0.534084 	[Smith(wv)],[L-R both/1.75(tourn-wv)]
0.751219 0.58996 	L-R offense/0.75(keener)
0.751221 0.534027 	[Schwartz(wv)],[L-R both/0.25(tourn-wv)]
0.751223 0.534014 	[Smith(wv)],[L-R both/2.25(tourn-wv)]
0.751231 0.554031 	[CGTT(wv)],[L-R defense/1.75(fwv)]
0.751239 0.534243 	[CDTT(wv)],[L-R both/1.5(tourn-wv)]
0.751242 0.554105 	[CDTT(wv)],[L-R defense/1.5(wv)]
0.751243 0.586077 	[Condorcet],[Keener(0.001, +1, norm)(keener)]
0.751244 0.53427 	[Smith(wv)],[L-R both/2(tourn-wv)]
0.751248 0.53389 	[CGTT(wv)],[L-R both/1.25(tourn-wv)]
0.751251 0.53419 	[Schwartz(wv)],[L-R both/2(tourn-wv)]
0.751253 0.534108 	[CDTT(wv)],[L-R both/1.75(tourn-wv)]
0.751254 0.534035 	L-R both/2.25(tourn-wv)
0.75127 0.53389 	L-R both/1.25(tourn-wv)
0.75127 0.595489 	L-R defense/2(keener)
0.751271 0.534006 	[CDTT(wv)],[L-R both/1(tourn-wv)]
0.751274 0.534036 	[Condorcet],[L-R both/0.75(tourn-wv)]
0.751276 0.586292 	[Condorcet],[L-R both/2(keener)]
0.751278 0.533985 	[CDTT(wv)],[L-R both/2(tourn-wv)]
0.751278 0.556596 	[Condorcet],[L-R defense/0.25(wv)]
0.75128 0.533953 	[Smith(wv)],[L-R both/1.5(tourn-wv)]
0.751281 0.534216 	[Condorcet],[L-R both/1.25(tourn-wv)]
0.751284 0.534166 	L-R both/1.5(tourn-wv)
0.751286 0.534172 	[Smith(wv)],[L-R both/0.75(tourn-wv)]
0.751287 0.534081 	[Condorcet],[L-R both/1.5(tourn-wv)]
0.751289 0.5538 	[Schwartz(wv)],[L-R defense/1.75(wv)]
0.751291 0.534023 	[CGTT(wv)],[L-R both/1.75(tourn-wv)]
0.751295 0.586406 	[Condorcet],[L-R both/0.25(keener)]
0.751297 0.534027 	[CGTT(wv)],[L-R both/0.5(tourn-wv)]
0.751299 0.556475 	[MDD(sum)(wv)],[L-R defense/1(rel-margins)]
0.7513 0.533984 	[Condorcet],[L-R both/0.5(tourn-wv)]
0.751302 0.590407 	L-R defense/0.5(keener)
0.751311 0.533943 	[CDTT(wv)],[L-R both/0.75(tourn-wv)]
0.751313 0.534006 	[Schwartz(wv)],[L-R both/1(tourn-wv)]
0.751313 0.534018 	[Schwartz(wv)],[L-R both/0.5(tourn-wv)]
0.751316 0.534115 	L-R both/0.25(tourn-wv)
0.751325 0.533888 	L-R both/0.5(tourn-wv)
0.751328 0.534168 	[CGTT(wv)],[L-R both/0.75(tourn-wv)]
0.751332 0.534066 	[Condorcet],[L-R both/2.25(tourn-wv)]
0.751338 0.533884 	[Smith(wv)],[L-R both/1.25(tourn-wv)]
0.751338 0.533955 	[CDTT(wv)],[L-R both/2.25(tourn-wv)]
0.75134 0.534008 	L-R both/2(tourn-wv)
0.751349 0.533952 	[CDTT(wv)],[L-R both/0.5(tourn-wv)]
0.751355 0.534097 	L-R both/0.75(tourn-wv)
0.751356 0.534159 	L-R both/1(tourn-wv)
0.751358 0.586722 	[Condorcet],[L-R both/1(keener)]
0.751359 0.534077 	[CGTT(wv)],[L-R both/1.5(tourn-wv)]
0.751369 0.534021 	L-R both/1.75(tourn-wv)
0.751393 0.553974 	[CGTT(wv)],[L-R defense/1.25(fwv)]
0.751403 0.554921 	[Schwartz(wv)],[L-R defense/1(wv)]
0.751404 0.534081 	[CGTT(wv)],[L-R both/0.25(tourn-wv)]
0.751406 0.533906 	[CDTT(wv)],[L-R both/1.25(tourn-wv)]
0.751409 0.53422 	[Smith(wv)],[L-R both/0.5(tourn-wv)]
0.751413 0.53413 	[Condorcet],[L-R both/1(tourn-wv)]
0.751436 0.534211 	[Schwartz(wv)],[L-R both/1.75(tourn-wv)]
0.751438 0.534258 	[CGTT(wv)],[L-R both/2(tourn-wv)]
0.751447 0.534143 	[Condorcet],[L-R both/2(tourn-wv)]
0.75145 0.534008 	[Schwartz(wv)],[L-R both/0.75(tourn-wv)]
0.751498 0.534161 	[Condorcet],[L-R both/0.25(tourn-wv)]
0.751506 0.581007 	[Smith(wv)],[L-R offense/2.25(keener)]
0.751509 0.58636 	[Condorcet],[L-R both/0.5(rel-margins)]
0.751515 0.534237 	[Smith(wv)],[L-R both/1(tourn-wv)]
0.751515 0.587613 	L-R defense/1.25(keener)
0.751548 0.534226 	[Schwartz(wv)],[L-R both/2.25(tourn-wv)]
0.751553 0.534155 	[CGTT(wv)],[L-R both/2.25(tourn-wv)]
0.751556 0.554471 	[CGTT(wv)],[L-R defense/1.5(wv)]
0.751556 0.585987 	[Condorcet],[L-R defense/1(keener)]
0.751587 0.58683 	L-R both/1.5(keener)
0.751624 0.554693 	[CDTT(wv)],[L-R defense/0.75(fwv)]
0.751722 0.555599 	[MDD(sum)(wv)],[L-R defense/0.75(rel-margins)]
0.751725 0.556389 	L-R defense/0.25(wv)
0.75174 0.556262 	[Smith(wv)],[L-R defense/0.25(fwv)]
0.751743 0.592129 	L-R defense/1.75(keener)
0.751744 0.556184 	[Condorcet],[L-R defense/0.25(fwv)]
0.751806 0.589564 	[Condorcet],[L-R defense/2(keener)]
0.751824 0.552651 	[CDTT(wv)],[Dodgson-Quick(wv)]
0.751842 0.555063 	[CDTT(wv)],[L-R defense/0.5(fwv)]
0.751857 0.555103 	[CGTT(wv)],[L-R defense/0.75(fwv)]
0.751866 0.587749 	L-R both/1.25(keener)
0.751942 0.587673 	[Condorcet],[L-R both/2.25(keener)]
0.751978 0.55531 	[CGTT(wv)],[L-R defense/0.75(wv)]
0.751996 0.555459 	[CGTT(wv)],[L-R defense/1(wv)]
0.752023 0.590077 	Sinkhorn(0.001, +1)(keener)
0.752043 0.556346 	L-R defense/0.25(fwv)
0.752051 0.556696 	[Smith(wv)],[L-R defense/0.25(wv)]
0.752058 0.590257 	L-R both/1(keener)
0.752073 0.590229 	L-R offense/1(keener)
0.752073 0.590971 	L-R defense/0.75(keener)
0.752115 0.5867 	[Condorcet],[L-R offense/2(keener)]
0.752122 0.60523 	L-R defense/0.5(rel-margins)
0.752134 0.590001 	L-R defense/1(keener)
0.752134 0.590158 	L-R both/0.5(rel-margins)
0.752135 0.555944 	[MDD(sum)(wv)],[L-R defense/0.25(fwv)]
0.752175 0.587487 	[Condorcet],[L-R both/0.5(keener)]
0.752184 0.594814 	L-R offense/0.5(keener)
0.752193 0.590268 	Keener(0.001, +1, norm)(keener)
0.752196 0.555543 	[CGTT(wv)],[L-R defense/0.25(fwv)]
0.752221 0.553036 	[CGTT(wv)],[Dodgson-Quick(wv)]
0.752248 0.555056 	[Schwartz(wv)],[L-R defense/0.75(wv)]
0.752249 0.555345 	[CDTT(wv)],[L-R defense/0.75(wv)]
0.752278 0.555261 	[Schwartz(wv)],[L-R defense/0.5(fwv)]
0.752292 0.555481 	[CGTT(wv)],[L-R defense/0.5(wv)]
0.752296 0.559019 	[MDD(sum)(wv)],[AVGEliminate-[Borda]/fd]
0.752307 0.590376 	L-R both/2(keener)
0.752342 0.600395 	L-R offense/0.25(keener)
0.752343 0.518533 	[MDD(sum)(wv)],[Ranked Pairs(tourn-wv)]
0.752361 0.556256 	[MDD(sum)(wv)],[L-R defense/0.25(wv)]
0.75238 0.555035 	[CDTT(wv)],[L-R defense/1(wv)]
0.75241 0.555597 	[Schwartz(wv)],[L-R defense/0.25(fwv)]
0.752411 0.552577 	[Schwartz(wv)],[Dodgson-Quick(wv)]
0.752449 0.555307 	[Schwartz(wv)],[L-R defense/0.25(wv)]
0.752523 0.554645 	[CGTT(wv)],[L-R defense/0.5(fwv)]
0.752526 0.55516 	[CGTT(wv)],[L-R defense/0.25(wv)]
0.7526 0.59413 	[Condorcet],[L-R offense/0.25(keener)]
0.752609 0.555569 	[CDTT(wv)],[L-R defense/0.5(wv)]
0.752628 0.555273 	[Schwartz(wv)],[L-R defense/0.5(wv)]
0.752657 0.590981 	L-R both/2.25(keener)
0.752712 0.592998 	ODM(0.001)(keener)
0.752719 0.59138 	L-R both/0.75(keener)
0.752783 0.558528 	[MDD(sum)(wv)],[ODM-arctan(0.001)(rel-margins)]
