0 0.32685 	Keener(0.001, +1, norm)(w/tv)
0.636915 0.307894 	Keener(0.001, +1, norm)(rel-margins)
0.637214 0.333689 	L-R defense/0.25(PO)
0.63927 0.30488 	L-R defense/1.25(PO)
0.64001 0.313426 	L-R both/2.25(PO)
0.640214 0.301277 	L-R defense/1.5(PO)
0.640218 0.313692 	L-R both/0.75(PO)
0.64031 0.314937 	Sinkhorn(0.001, +1)(PO)
0.640572 0.315208 	ODM(0.001)(PO)
0.640682 0.305957 	L-R offense/0.75(PO)
0.641535 0.29811 	L-R defense/1.75(PO)
0.641607 0.315783 	L-R both/0.5(PO)
0.64302 0.29909 	Keener(0.001, +1, raw)(PO)
0.643267 0.295217 	L-R defense/2(PO)
0.643327 0.303367 	L-R offense/0.5(PO)
0.644085 0.265039 	AVGEliminate-[Borda]/fd
0.644208 0.319032 	L-R both/0.25(PO)
0.64421 0.23783 	L-R defense/0.75(rel-margins)
0.645413 0.292603 	L-R defense/2.25(PO)
0.646883 0.30051 	L-R offense/0.25(PO)
0.64966 0.309837 	NREM-Opt
0.651106 0.257384 	AVGEliminate-[NREM-Opt]/fd
0.6543 0.236509 	Eliminate-[Borda]/fd
0.654702 0.326095 	L-R both/1.25(rel-margins)
0.65485 0.118554 	Eliminate-[VoteForAgainst]/fd
0.655024 0.227508 	Eliminate-[NREM-Opt]/fd
0.655036 0.284649 	Cardinal-10(norm)
0.656313 0.893565 	Maximin(w/tv)
0.656626 0.529765 	Ext-Minmin(PO)
0.65669 0.529659 	Ext-Minmin(keener)
0.667299 0.238596 	L-R defense/1(rel-margins)
0.669006 0.425096 	Keener(0.001, +1, norm)(PO)
0.670372 0.339296 	L-R both/1.5(rel-margins)
0.68432 0.35064 	L-R both/1.75(rel-margins)
0.685936 0.237451 	L-R defense/1.25(rel-margins)
0.689585 0.153664 	L-R offense/2(rel-margins)
0.69708 0.359698 	L-R both/2(rel-margins)
0.700061 0.890392 	Maximin(rel-margins)
0.700187 0.890564 	Maximin(fwv)
0.700217 0.890581 	Maximin(wv)
0.700767 0.238147 	L-R defense/1.5(rel-margins)
0.709015 0.367848 	L-R both/2.25(rel-margins)
0.713018 0.238976 	L-R defense/1.75(rel-margins)
