L-R defense/1.75(rel-margins)	-58.2182 83.574 
L-R both/1.75(rel-margins)	-59.9995 81.8964 
L-R offense/2(rel-margins)	-62.4627 81.4884 
L-R defense/2(rel-margins)	-58.0667 83.4741 
L-R both/2(rel-margins)	-59.9008 81.5693 
L-R offense/2.25(rel-margins)	-62.5787 81.252 
L-R defense/2.25(rel-margins)	-57.9281 83.3925 
L-R both/2.25(rel-margins)	-59.7793 81.265 
Copeland	-61.4502 85.7937 
2. order Copeland/2/1	-60.8666 85.9741 
2. order Copeland	-61.323 86.997 
Schulze(rel-margins)	-59.7025 85.6592 
Ranked Pairs(rel-margins)	-59.7237 85.8975 
River(rel-margins)	-61.7806 75.8657 
Dodgson-Quick(rel-margins)	-61.2606 85.9247 
Keener(0.001, +0, raw)(rel-margins)	-68.1045 88.6428 
Keener(0.001, +0, norm)(rel-margins)	-60.2563 83.3315 
Keener(0.001, +1, raw)(rel-margins)	-61.7663 83.0306 
Keener(0.001, +1, norm)(rel-margins)	-60.2544 83.3317 
Sinkhorn(0.001, +1)(rel-margins)	-60.3169 83.4166 
Sinkhorn(0.001, +0)(rel-margins)	-58.213 88.5551 
ODM(0.001)(rel-margins)	-60.3326 85.4434 
HITS(0.001)(rel-margins)	-62.2627 81.7406 
ODM-arctan(0.001)(rel-margins)	-59.6861 83.7622 
Kemeny(keener)	-60.0656 85.9822 
Ext-Minmax(keener)	-57.2219 83.0519 
Ext-Minmin(keener)	-63.4253 79.9114 
Minmax(keener)	-57.0971 82.5497 
Maximin(keener)	-57.0971 82.5497 
L-R offense/0.25(keener)	-60.2296 84.4574 
L-R defense/0.25(keener)	-60.7644 84.1866 
L-R both/0.25(keener)	-60.4855 84.3306 
L-R offense/0.5(keener)	-60.3338 84.4811 
L-R defense/0.5(keener)	-60.6662 84.3287 
L-R both/0.5(keener)	-60.4975 84.4218 
L-R offense/0.75(keener)	-60.4309 84.4996 
L-R defense/0.75(keener)	-60.5811 84.4394 
L-R both/0.75(keener)	-60.5073 84.4724 
L-R offense/1(keener)	-60.5114 84.5035 
L-R defense/1(keener)	-60.5106 84.5041 
L-R both/1(keener)	-60.5111 84.504 
L-R offense/1.25(keener)	-60.5891 84.4929 
L-R defense/1.25(keener)	-60.444 84.5509 
L-R both/1.25(keener)	-60.5146 84.525 
L-R offense/1.5(keener)	-60.654 84.4685 
L-R defense/1.5(keener)	-60.3768 84.581 
L-R both/1.5(keener)	-60.5161 84.5293 
L-R offense/1.75(keener)	-60.7232 84.4322 
L-R defense/1.75(keener)	-60.3113 84.596 
L-R both/1.75(keener)	-60.5146 84.522 
L-R offense/2(keener)	-60.7877 84.3734 
L-R defense/2(keener)	-60.2404 84.5996 
L-R both/2(keener)	-60.5109 84.504 
L-R offense/2.25(keener)	-60.8447 84.3181 
L-R defense/2.25(keener)	-60.1761 84.5923 
L-R both/2.25(keener)	-60.5076 84.4805 
Copeland	-61.4502 85.7937 
2. order Copeland/2/1	-60.8666 85.9741 
2. order Copeland	-61.323 86.997 
Schulze(keener)	-59.7025 85.6592 
Ranked Pairs(keener)	-59.7119 85.9228 
River(keener)	-61.5553 75.9289 
Dodgson-Quick(keener)	-77.2094 83.2218 
Keener(0.001, +0, raw)(keener)	-60.2418 84.5629 
Keener(0.001, +0, norm)(keener)	-60.4988 84.5107 
Keener(0.001, +1, raw)(keener)	-60.4376 84.5338 
Keener(0.001, +1, norm)(keener)	-60.4991 84.5109 
Sinkhorn(0.001, +1)(keener)	-60.5106 84.4945 
Sinkhorn(0.001, +0)(keener)	-60.4976 84.3776 
ODM(0.001)(keener)	-60.4974 84.3772 
HITS(0.001)(keener)	-60.7246 84.3618 
ODM-arctan(0.001)(keener)	-60.5198 84.5539 
Gradual-[Smith(wv)](None, cardinal)	-63.8764 86.1036 
Gradual-[Smith(wv)](None, ordinal)	-63.9135 85.9348 
Gradual-[Schwartz(wv)](None, cardinal)	-61.6179 85.0653 
Gradual-[Schwartz(wv)](None, ordinal)	-61.5759 85.0277 
Gradual-[SDom(wv)](None, cardinal)	-68.2517 80.8516 
Gradual-[SDom(wv)](None, ordinal)	-68.3076 80.3984 
Gradual-[CDTT(wv)](None, cardinal)	-77.1941 83.242 
Gradual-[CDTT(wv)](None, ordinal)	-77.1065 83.3588 
Gradual-[Landau(wv)](None, cardinal)	-60.8171 86.6677 
Gradual-[Landau(wv)](None, ordinal)	-60.8198 86.6272 
Gradual-[Condorcet](None, cardinal)	-67.4552 86.1186 
