Kemeny(rel-margins)	0.35269 0.964667 
Ext-Minmax(rel-margins)	0.673685 -3.39025 
Ext-Minmin(rel-margins)	1.0506 1.10042 
Minmax(rel-margins)	0.137457 -3.66856 
Maximin(rel-margins)	-6.44363 -9.0801 
L-R offense/0.25(rel-margins)	2.14164 1.58505 
L-R defense/0.25(rel-margins)	1.13358 0.785979 
L-R both/0.25(rel-margins)	1.65257 1.13775 
L-R offense/0.5(rel-margins)	2.87646 1.27697 
L-R defense/0.5(rel-margins)	1.14096 0.00259843 
L-R both/0.5(rel-margins)	2.00734 0.606842 
L-R offense/0.75(rel-margins)	3.53439 1.01806 
L-R defense/0.75(rel-margins)	1.10707 -0.64625 
L-R both/0.75(rel-margins)	2.36336 0.0669899 
L-R offense/1(rel-margins)	4.03432 0.862775 
L-R defense/1(rel-margins)	1.01011 -1.12987 
L-R both/1(rel-margins)	2.69813 -0.418526 
L-R offense/1.25(rel-margins)	4.4634 0.720588 
L-R defense/1.25(rel-margins)	1.00706 -1.54489 
L-R both/1.25(rel-margins)	2.99683 -0.8458 
L-R offense/1.5(rel-margins)	4.82772 0.614353 
L-R defense/1.5(rel-margins)	0.93783 -1.84838 
L-R both/1.5(rel-margins)	3.22859 -1.20498 
L-R offense/1.75(rel-margins)	5.14044 0.537812 
L-R defense/1.75(rel-margins)	0.928443 -2.11564 
L-R both/1.75(rel-margins)	3.44747 -1.55651 
L-R offense/2(rel-margins)	5.3564 0.48899 
L-R defense/2(rel-margins)	0.875513 -2.32113 
L-R both/2(rel-margins)	3.62152 -1.84498 
L-R offense/2.25(rel-margins)	5.59153 0.571973 
L-R defense/2.25(rel-margins)	0.893464 -2.50256 
L-R both/2.25(rel-margins)	3.78711 -2.14637 
Copeland	0.951518 1.97932 
2. order Copeland/2/1	1.21322 2.02299 
2. order Copeland	0.50433 2.94779 
Schulze(rel-margins)	0.232473 0.545248 
Ranked Pairs(rel-margins)	0.183545 0.740013 
River(rel-margins)	-7.29419 -0.256207 
Dodgson-Quick(rel-margins)	0.741174 1.75141 
Keener(0.001, +0, raw)(rel-margins)	-5.65346 4.70057 
Keener(0.001, +0, norm)(rel-margins)	2.61387 -0.430241 
Keener(0.001, +1, raw)(rel-margins)	3.95914 0.827671 
Keener(0.001, +1, norm)(rel-margins)	2.61788 -0.425332 
Sinkhorn(0.001, +1)(rel-margins)	2.6081 -0.301529 
Sinkhorn(0.001, +0)(rel-margins)	4.74384 4.29822 
ODM(0.001)(rel-margins)	1.78024 1.57369 
HITS(0.001)(rel-margins)	5.1229 0.718628 
ODM-arctan(0.001)(rel-margins)	3.18843 0.438361 
Kemeny(keener)	0.410885 1.1851 
Ext-Minmax(keener)	0.777024 -3.39583 
Ext-Minmin(keener)	6.99355 0.491473 
Minmax(keener)	0.143906 -3.67137 
Maximin(keener)	0.175514 -3.68439 
L-R offense/0.25(keener)	1.83341 0.319339 
L-R defense/0.25(keener)	2.44252 0.66244 
L-R both/0.25(keener)	2.12529 0.481009 
L-R offense/0.5(keener)	1.88667 0.424812 
L-R defense/0.5(keener)	2.26157 0.652132 
L-R both/0.5(keener)	2.06112 0.543105 
L-R offense/0.75(keener)	1.95101 0.529299 
L-R defense/0.75(keener)	2.11115 0.634662 
L-R both/0.75(keener)	2.02631 0.578921 
L-R offense/1(keener)	2.01143 0.605754 
L-R defense/1(keener)	2.00502 0.606177 
L-R both/1(keener)	2.00467 0.604441 
L-R offense/1.25(keener)	2.07723 0.673884 
L-R defense/1.25(keener)	1.9251 0.570489 
L-R both/1.25(keener)	1.99245 0.619945 
L-R offense/1.5(keener)	2.14537 0.728488 
L-R defense/1.5(keener)	1.83859 0.530129 
L-R both/1.5(keener)	1.99495 0.626015 
L-R offense/1.75(keener)	2.23082 0.771486 
L-R defense/1.75(keener)	1.78151 0.478984 
L-R both/1.75(keener)	1.99632 0.620814 
L-R offense/2(keener)	2.31349 0.802727 
L-R defense/2(keener)	1.72788 0.415598 
L-R both/2(keener)	2.00679 0.604254 
L-R offense/2.25(keener)	2.39459 0.82811 
L-R defense/2.25(keener)	1.68642 0.351736 
L-R both/2.25(keener)	2.02915 0.589613 
Copeland	0.949411 1.97951 
2. order Copeland/2/1	1.20637 2.02826 
2. order Copeland	0.512654 2.95471 
Schulze(keener)	0.233581 0.531441 
Ranked Pairs(keener)	0.145234 0.758832 
River(keener)	-7.23467 -0.0340945 
Dodgson-Quick(keener)	-14.599 4.833 
Keener(0.001, +0, raw)(keener)	1.76338 0.384271 
Keener(0.001, +0, norm)(keener)	1.99708 0.600351 
Keener(0.001, +1, raw)(keener)	1.93412 0.554952 
Keener(0.001, +1, norm)(keener)	1.99766 0.604025 
Sinkhorn(0.001, +1)(keener)	2.01794 0.601357 
Sinkhorn(0.001, +0)(keener)	2.1027 0.524932 
ODM(0.001)(keener)	2.10574 0.525838 
HITS(0.001)(keener)	2.27532 0.732593 
ODM-arctan(0.001)(keener)	1.97675 0.644862 
Gradual-[Smith(wv)](None, cardinal)	-1.9692 1.29053 
Gradual-[Smith(wv)](None, ordinal)	-1.95168 1.14935 
Gradual-[Schwartz(wv)](None, cardinal)	0.430383 0.421637 
Gradual-[Schwartz(wv)](None, ordinal)	0.470485 0.431238 
Gradual-[SDom(wv)](None, cardinal)	-2.22265 8.21686 
Gradual-[SDom(wv)](None, ordinal)	-2.97546 7.97717 
Gradual-[CDTT(wv)](None, cardinal)	-14.6007 4.82416 
Gradual-[CDTT(wv)](None, ordinal)	-14.4892 4.80909 
Gradual-[Landau(wv)](None, cardinal)	-0.167226 1.41902 
Gradual-[Landau(wv)](None, ordinal)	-0.125683 1.33005 
Gradual-[Condorcet](None, cardinal)	-5.28877 1.49443 
Gradual-[Condorcet](None, ordinal)	-6.09376 2.20691 
Gradual-[Copeland](None, cardinal)	1.90673 1.73918 
Gradual-[Copeland](None, ordinal)	1.89957 1.67184 
Gradual-[2. order Copeland/2/1](None, cardinal)	1.49542 1.92979 
Gradual-[2. order Copeland/2/1](None, ordinal)	1.46333 1.85881 
Gradual-[2. order Copeland](None, cardinal)	1.58063 2.68427 
Gradual-[2. order Copeland](None, ordinal)	1.45921 2.75085 
Random Pair	7.11477 7.89517 
Cardinal-10(norm)	2.01575 -1.04694 
Cardinal-10	1.97296 -0.826044 
VMedianOS-10(norm, tiebreak)	5.31232 2.33374 
VMedianOS-10(tiebreak)	-1.84515 -2.16225 
VMedianOS-10(norm)	-4.96807 -1.83845 
VMedianOS-10()	-4.81906 -2.86713 
Mode-Ratings	4.18344 -8.11728 
Young(wv,linear)	0.203037 -3.70761 
Young(sym-completion,linear)	0.157052 -3.68801 
