7.77316e-05 0.87271 	Gradual-[MDD(direct)(wv)](None, ordinal)
0.715041 0.415481 	Ranked Pairs(rel-margins)
0.715592 0.415714 	Ranked Pairs(w/tv)
0.715669 0.416093 	Ranked Pairs(wv)
0.715763 0.415771 	Ranked Pairs(fwv)
0.715966 0.41611 	Ranked Pairs(PO)
0.716501 0.381743 	L-R offense/0.25(fwv)
0.716576 0.381422 	L-R offense/1.5(wv)
0.716597 0.381538 	L-R offense/1(wv)
0.716625 0.381615 	L-R offense/0.25(wv)
0.716685 0.381673 	L-R offense/0.25(rel-margins)
0.716714 0.381287 	L-R offense/0.5(fwv)
0.716733 0.381337 	L-R offense/1.75(wv)
0.716734 0.381678 	L-R offense/1(fwv)
0.716739 0.381814 	L-R offense/1.25(fwv)
0.716744 0.381268 	L-R offense/2.25(fwv)
0.716828 0.381489 	L-R offense/1.75(fwv)
0.716861 0.381444 	L-R offense/1.25(wv)
0.716869 0.381373 	L-R offense/2(fwv)
0.716887 0.381762 	L-R offense/1.5(fwv)
0.716915 0.381446 	L-R offense/2.25(wv)
0.716946 0.381371 	L-R offense/2(wv)
0.716981 0.381568 	L-R offense/0.75(fwv)
0.716988 0.381641 	L-R offense/0.5(wv)
0.717083 0.381558 	L-R offense/0.75(wv)
0.71892 0.285984 	L-R offense/2.25(PO)
0.718937 0.286045 	HITS(0.001)(PO)
0.719079 0.285787 	L-R defense/0.5(PO)
0.719108 0.28588 	L-R defense/0.75(PO)
0.719184 0.286176 	L-R defense/0.25(PO)
0.719266 0.286156 	Keener(0.001, +1, norm)(PO)
0.719295 0.285977 	L-R offense/2(PO)
0.719296 0.286271 	L-R offense/1.75(PO)
0.719352 0.285951 	L-R offense/1.25(PO)
0.719497 0.286089 	L-R offense/1.5(PO)
0.737656 0.21483 	VMedianOS-10(tiebreak)
0.738113 0.21566 	VMedianOS-10(norm, tiebreak)
0.742728 0.418628 	Eliminate-[NREM-Opt]/fd
0.743332 0.418534 	Eliminate-[Borda]/fd
0.743944 0.41927 	Eliminate-[VoteForAgainst]/fd
0.747921 0.365298 	L-R offense/0.5(rel-margins)
0.751521 0.461421 	L-R defense/1.5(rel-margins)
0.754478 0.459148 	L-R defense/2(rel-margins)
0.755786 0.460538 	L-R defense/2.25(rel-margins)
0.755956 0.459998 	L-R defense/1.75(rel-margins)
0.763276 0.327564 	Keener(0.001, +1, raw)(rel-margins)
0.776384 0.348905 	L-R offense/0.75(rel-margins)
0.787856 0.344166 	L-R offense/1(rel-margins)
0.800006 0.295227 	HITS(0.001)(rel-margins)
0.809723 0.287813 	Ext-Minmin(PO)
0.817483 0.334526 	L-R offense/1.25(rel-margins)
0.82855 0.329134 	L-R offense/1.75(rel-margins)
0.828588 0.328995 	L-R offense/2(rel-margins)
0.828946 0.328998 	L-R offense/1.5(rel-margins)
0.834315 0.327609 	L-R offense/2.25(rel-margins)
0.835707 0.303424 	Nauru Borda
0.852269 0.212621 	Mode-Ratings
0.86389 0.513095 	Gradual-[2. order Copeland](None, cardinal)
0.864727 0.515517 	Gradual-[2. order Copeland](None, ordinal)
0.880527 0.543094 	Random Pair
0.927009 0.310971 	AVGEliminate-[Antiplurality]/fd
0.962418 0.292251 	Maximin(fwv)
0.963049 0.291592 	Maximin(rel-margins)
0.963091 0.291603 	Maximin(wv)
0.963309 0.443265 	Plurality
1 0.35412 	Maximin(w/tv)
