0 0.872558 	Dodgson-Quick(keener)
0.635384 0.398753 	[CGTT(wv)],[L-R defense/0.5(w/tv)]
0.635384 0.398756 	[CGTT(wv)],[L-R defense/2.25(rel-margins)]
0.635384 0.398757 	[Schwartz(wv)],[L-R defense/1.5(rel-margins)]
0.635384 0.398762 	[CGTT(wv)],[Ext-Minmin(fwv)]
0.635384 0.398764 	[Schwartz(wv)],[L-R defense/0.25(fwv)]
0.635384 0.398781 	[CGTT(wv)],[L-R defense/1.75(fwv)]
0.635384 0.398787 	[CDTT(wv)],[Minmax(keener)]
0.635385 0.398749 	[CGTT(wv)],[L-R defense/1(fwv)]
0.635385 0.398764 	[Schwartz(wv)],[L-R defense/0.75(w/tv)]
0.635385 0.398776 	[Schwartz(wv)],[L-R defense/2(w/tv)]
0.635386 0.398753 	[CDTT(wv)],[L-R defense/0.5(rel-margins)]
0.635386 0.398756 	[Schwartz(wv)],[L-R defense/1.75(rel-margins)]
0.635386 0.398768 	Dodgson-Quick(w/tv)
0.635386 0.398775 	[Schwartz(wv)],[L-R defense/1.5(wv)]
0.635386 0.398777 	L-R defense/0.5(w/tv)
0.635387 0.398746 	L-R defense/1.25(w/tv)
0.635387 0.39874 	[CGTT(wv)],[L-R defense/0.25(wv)]
0.635387 0.398763 	[Schwartz(wv)],[Minmax(rel-margins)]
0.635387 0.398777 	[Schwartz(wv)],[L-R defense/0.5(w/tv)]
0.635387 0.398786 	[Schwartz(wv)],[Ext-Minmin(rel-margins)]
0.635387 0.398788 	[CDTT(wv)],[L-R defense/1.75(wv)]
0.635387 0.398798 	[Smith(wv)],[Ext-Minmin(w/tv)]
0.635387 0.398802 	[Smith(wv)],[L-R defense/1(w/tv)]
0.635387 0.398804 	[CDTT(wv)],[L-R defense/1(rel-margins)]
0.635388 0.398741 	[Schwartz(wv)],[L-R defense/2.25(wv)]
0.635388 0.39874 	[Schwartz(wv)],[L-R defense/1(wv)]
0.635388 0.398751 	[Landau(wv)],[L-R defense/2.25(w/tv)]
0.635388 0.398767 	[Schwartz(wv)],[L-R defense/1(w/tv)]
0.635388 0.398769 	L-R defense/1.5(w/tv)
0.635388 0.398776 	[Landau(wv)],[Ext-Minmin(w/tv)]
0.635388 0.398782 	[CDTT(wv)],[Ext-Minmax(w/tv)]
0.635389 0.398733 	[CGTT(wv)],[Ext-Minmin(wv)]
0.635389 0.398753 	[CDTT(wv)],[L-R defense/0.5(wv)]
0.635389 0.398777 	[Landau(wv)],[L-R defense/0.5(w/tv)]
0.635389 0.39877 	[CGTT(wv)],[Ext-Minmax(fwv)]
0.635389 0.398785 	[CDTT(wv)],[Ext-Minmin(w/tv)]
0.635389 0.398786 	[Schwartz(wv)],[L-R defense/0.75(wv)]
0.635389 0.39878 	[CDTT(wv)],[L-R defense/1.25(wv)]
0.635389 0.398794 	L-R defense/0.25(w/tv)
0.63539 0.398736 	[CGTT(wv)],[L-R defense/1.25(w/tv)]
0.63539 0.398753 	[CDTT(wv)],[L-R defense/2.25(w/tv)]
0.63539 0.398769 	[CDTT(wv)],[L-R defense/1.5(fwv)]
0.63539 0.398777 	[CGTT(wv)],[Minmax(wv)]
0.635391 0.398713 	[Landau(wv)],[L-R defense/1.25(w/tv)]
0.635391 0.398745 	[Schwartz(wv)],[L-R defense/2(rel-margins)]
0.635391 0.398796 	Ext-Minmin(w/tv)
0.635391 0.39879 	[CGTT(wv)],[L-R defense/0.25(rel-margins)]
0.635391 0.39879 	[MDD(sum)(wv)],[L-R defense/0.25(w/tv)]
0.635392 0.398744 	[CDTT(wv)],[L-R defense/1(w/tv)]
0.635392 0.398768 	[Schwartz(wv)],[L-R defense/0.5(rel-margins)]
0.635392 0.398788 	[MDD(sum)(wv)],[Ext-Minmin(w/tv)]
0.635392 0.398796 	[MDD(sum)(wv)],[L-R defense/1.5(w/tv)]
0.635392 0.398798 	[CDTT(wv)],[L-R defense/0.75(rel-margins)]
0.635393 0.398739 	[Landau(wv)],[L-R defense/1(w/tv)]
0.635393 0.398744 	[CGTT(wv)],[Ext-Minmax(rel-margins)]
0.635393 0.398744 	[Landau(wv)],[Dodgson-Quick(w/tv)]
0.635393 0.398748 	[CGTT(wv)],[Minmax(rel-margins)]
0.635393 0.398778 	[Schwartz(wv)],[Minmax(keener)]
0.635393 0.398781 	[CDTT(wv)],[L-R defense/2.25(rel-margins)]
0.635393 0.398789 	[CGTT(wv)],[L-R defense/1.25(fwv)]
0.635394 0.398762 	[CDTT(wv)],[L-R defense/1.75(fwv)]
0.635394 0.398766 	[CDTT(wv)],[L-R defense/1.5(w/tv)]
0.635395 0.398732 	[Condorcet],[Ext-Minmin(w/tv)]
0.635395 0.398732 	[Schwartz(wv)],[L-R defense/1.75(fwv)]
0.635395 0.398756 	[CGTT(wv)],[L-R defense/0.25(fwv)]
0.635395 0.398783 	[CDTT(wv)],[Ext-Minmax(fwv)]
0.635396 0.398727 	L-R defense/2(w/tv)
0.635396 0.398741 	[Schwartz(wv)],[Ext-Minmax(w/tv)]
0.635396 0.398759 	[Schwartz(wv)],[Ext-Minmin(w/tv)]
0.635396 0.398762 	[CGTT(wv)],[Dodgson-Quick(wv)]
0.635396 0.398768 	[Condorcet],[L-R defense/0.25(w/tv)]
0.635396 0.39876 	[MDD(sum)(wv)],[L-R defense/2(w/tv)]
0.635397 0.398714 	[CGTT(wv)],[Ext-Minmin(w/tv)]
0.635397 0.398736 	[CGTT(wv)],[L-R defense/0.5(rel-margins)]
0.635397 0.398739 	[Condorcet],[L-R defense/1.5(w/tv)]
0.635397 0.398743 	[Condorcet],[L-R defense/1(w/tv)]
0.635397 0.398748 	[Smith(wv)],[L-R defense/2(w/tv)]
0.635397 0.398762 	[Schwartz(wv)],[L-R defense/1.75(wv)]
0.635397 0.398782 	[Schwartz(wv)],[L-R defense/1.25(wv)]
0.635398 0.398752 	[Schwartz(wv)],[L-R defense/1.25(rel-margins)]
0.635398 0.39878 	[Schwartz(wv)],[Minmax(fwv)]
0.635399 0.398777 	[CGTT(wv)],[L-R defense/0.5(wv)]
0.635399 0.398779 	[CDTT(wv)],[L-R defense/2(rel-margins)]
0.635399 0.398782 	[CGTT(wv)],[L-R defense/2.25(wv)]
0.635399 0.398784 	[MDD(sum)(wv)],[L-R defense/0.5(w/tv)]
0.6354 0.398747 	[Schwartz(wv)],[L-R defense/0.75(fwv)]
0.6354 0.398755 	[Smith(wv)],[L-R defense/2.25(w/tv)]
0.6354 0.398758 	[Schwartz(wv)],[L-R defense/0.25(rel-margins)]
0.635402 0.398785 	[Condorcet],[L-R defense/0.75(w/tv)]
0.635403 0.398726 	[CGTT(wv)],[L-R defense/0.5(fwv)]
0.635403 0.398729 	[Schwartz(wv)],[Dodgson-Quick(wv)]
0.635403 0.398751 	[Condorcet],[Dodgson-Quick(w/tv)]
0.635403 0.398756 	[CGTT(wv)],[L-R defense/1(w/tv)]
0.635403 0.398763 	[Landau(wv)],[L-R defense/1.5(w/tv)]
0.635404 0.398746 	[Schwartz(wv)],[Minmax(wv)]
0.635404 0.398776 	[CGTT(wv)],[L-R defense/2(w/tv)]
0.635404 0.398778 	[CGTT(wv)],[Minmax(PO)]
0.635405 0.398725 	[Schwartz(wv)],[L-R defense/1.5(fwv)]
0.635405 0.398741 	[Smith(wv)],[L-R defense/1.75(w/tv)]
0.635406 0.398749 	[Smith(wv)],[L-R defense/0.5(w/tv)]
0.635406 0.398752 	[CDTT(wv)],[L-R defense/0.75(wv)]
0.635406 0.398758 	[Smith(wv)],[L-R defense/0.25(w/tv)]
0.635406 0.398768 	[Schwartz(wv)],[L-R defense/1.25(fwv)]
0.635407 0.398741 	[CGTT(wv)],[L-R defense/1(rel-margins)]
0.635407 0.398757 	[Schwartz(wv)],[L-R defense/0.5(wv)]
0.635407 0.398767 	[Schwartz(wv)],[L-R defense/0.75(rel-margins)]
0.635407 0.398769 	[CGTT(wv)],[Minmax(keener)]
0.635408 0.398717 	[Smith(wv)],[Dodgson-Quick(w/tv)]
0.635408 0.398756 	[MDD(sum)(wv)],[L-R defense/1.75(w/tv)]
0.635409 0.398743 	[CDTT(wv)],[Minmax(fwv)]
0.635411 0.398743 	[Schwartz(wv)],[Dodgson-Quick(w/tv)]
0.635414 0.398736 	[CGTT(wv)],[L-R defense/1.5(fwv)]
0.635414 0.398744 	[CGTT(wv)],[Maximin(PO)]
0.635747 0.304637 	[SDom(wv)],[L-R defense/2(keener)]
0.635904 0.304799 	[SDom(wv)],[L-R defense/1.75(keener)]
0.636303 0.304557 	[SDom(wv)],[L-R offense/0.5(keener)]
0.636306 0.304407 	[SDom(wv)],[L-R defense/2.25(keener)]
0.636354 0.304569 	[SDom(wv)],[L-R offense/0.75(keener)]
0.636585 0.304694 	[SDom(wv)],[L-R defense/1.5(keener)]
0.636806 0.304289 	[SDom(wv)],[L-R offense/0.25(keener)]
0.63712 0.374218 	[MDD(sum)(wv)],[AVGEliminate-[NREM-Opt]/fd]
0.637162 0.374543 	[Smith(wv)],[AVGEliminate-[NREM-Opt]/fd]
0.637187 0.375009 	[Landau(wv)],[AVGEliminate-[VoteForAgainst]/fd]
0.637244 0.374732 	[Landau(wv)],[AVGEliminate-[NREM-Opt]/fd]
0.637294 0.374907 	[Smith(wv)],[AVGEliminate-[VoteForAgainst]/fd]
0.637308 0.374696 	[MDD(sum)(wv)],[AVGEliminate-[Borda]/fd]
0.637386 0.374981 	[Landau(wv)],[AVGEliminate-[Borda]/fd]
0.637474 0.375249 	[Smith(wv)],[AVGEliminate-[Borda]/fd]
0.637517 0.308434 	[SDom(wv)],[L-R both/0.25(rel-margins)]
0.637553 0.374807 	[MDD(sum)(wv)],[AVGEliminate-[VoteForAgainst]/fd]
0.637733 0.308371 	[SDom(wv)],[Sinkhorn(0.001, +1)(keener)]
0.637764 0.308194 	[SDom(wv)],[L-R both/0.5(keener)]
0.637883 0.308512 	[SDom(wv)],[L-R both/0.75(keener)]
0.637899 0.308522 	[SDom(wv)],[L-R both/2.25(keener)]
0.637918 0.30799 	[SDom(wv)],[L-R defense/1(keener)]
0.637944 0.308507 	[SDom(wv)],[L-R offense/1(keener)]
0.638081 0.308497 	[SDom(wv)],[L-R both/1.5(keener)]
0.638084 0.308061 	[SDom(wv)],[L-R defense/1.25(keener)]
0.638158 0.308786 	[SDom(wv)],[L-R both/0.5(rel-margins)]
0.638255 0.307997 	[SDom(wv)],[L-R both/2(keener)]
0.638369 0.308074 	[SDom(wv)],[Keener(0.001, +1, norm)(keener)]
0.638391 0.307474 	[SDom(wv)],[ODM-arctan(0.001)(keener)]
0.638444 0.308119 	[SDom(wv)],[L-R both/1(keener)]
0.638453 0.307779 	[SDom(wv)],[L-R both/1.75(keener)]
0.638565 0.307722 	[SDom(wv)],[L-R both/1.25(keener)]
0.639651 0.40863 	[Smith(wv)],[Schulze(rel-margins)]
0.639653 0.408637 	[MDD(sum)(wv)],[Schulze(PO)]
0.639659 0.408625 	[Smith(wv)],[Schulze(w/tv)]
0.639659 0.408669 	[CGTT(wv)],[Schulze(w/tv)]
0.639661 0.408624 	[Condorcet],[Schulze(fwv)]
0.639661 0.408644 	[Smith(wv)],[Schulze(fwv)]
0.639662 0.408636 	[Condorcet],[Schulze(wv)]
0.639664 0.408634 	[Condorcet],[Schulze(w/tv)]
0.639664 0.408642 	Schulze(keener)
0.639665 0.408614 	[Schwartz(wv)],[Schulze(keener)]
0.639666 0.408633 	Schulze(wv)
0.639669 0.408643 	Schulze(w/tv)
0.639674 0.408561 	[CDTT(wv)],[Schulze(rel-margins)]
0.639674 0.408575 	[MDD(sum)(wv)],[Schulze(rel-margins)]
0.639674 0.408594 	[CDTT(wv)],[Schulze(keener)]
0.639674 0.408599 	[Condorcet],[Schulze(keener)]
0.639677 0.408592 	Schulze(fwv)
0.639678 0.408569 	[MDD(sum)(wv)],[Schulze(wv)]
0.639678 0.40858 	[MDD(sum)(wv)],[Schulze(w/tv)]
0.639678 0.408613 	[Landau(wv)],[Schulze(wv)]
0.63968 0.408602 	[CGTT(wv)],[Schulze(rel-margins)]
0.63968 0.408607 	[Schwartz(wv)],[Schulze(rel-margins)]
0.639681 0.40855 	[CDTT(wv)],[Schulze(wv)]
0.639681 0.408579 	[CGTT(wv)],[Schulze(fwv)]
0.639681 0.408614 	[Schwartz(wv)],[Schulze(PO)]
0.639682 0.40859 	[CDTT(wv)],[Schulze(PO)]
0.639686 0.408566 	[MDD(sum)(wv)],[Schulze(fwv)]
0.639686 0.408597 	[Landau(wv)],[Schulze(fwv)]
0.639686 0.408605 	[Landau(wv)],[Schulze(w/tv)]
0.639689 0.408585 	[CDTT(wv)],[Schulze(fwv)]
0.63969 0.40857 	[Condorcet],[Schulze(rel-margins)]
0.63969 0.408583 	[Schwartz(wv)],[Schulze(wv)]
0.63969 0.408588 	[Smith(wv)],[Schulze(keener)]
0.639691 0.408581 	Schulze(rel-margins)
0.639692 0.408564 	[Schwartz(wv)],[Schulze(w/tv)]
0.639693 0.408557 	[MDD(sum)(wv)],[Schulze(keener)]
0.639694 0.408533 	[Schwartz(wv)],[Schulze(fwv)]
0.639694 0.408548 	[Condorcet],[Schulze(PO)]
0.639694 0.408552 	[Landau(wv)],[Schulze(rel-margins)]
0.639696 0.408569 	[CGTT(wv)],[Schulze(PO)]
0.639702 0.387909 	[Smith(wv)],[Keener(0.001, +1, norm)(wv)]
0.639704 0.408516 	[CDTT(wv)],[Schulze(w/tv)]
0.639704 0.408517 	[CGTT(wv)],[Schulze(wv)]
0.639704 0.408555 	[Smith(wv)],[Schulze(PO)]
0.639705 0.408529 	[Smith(wv)],[Schulze(wv)]
0.639706 0.408513 	Schulze(PO)
0.639708 0.408524 	[Landau(wv)],[Schulze(keener)]
0.63971 0.408544 	[CGTT(wv)],[Schulze(keener)]
0.639714 0.408519 	[Landau(wv)],[Schulze(PO)]
0.639731 0.387773 	[Schwartz(wv)],[Keener(0.001, +1, norm)(wv)]
0.639741 0.388117 	[Condorcet],[Keener(0.001, +1, norm)(wv)]
0.639833 0.38786 	Keener(0.001, +1, norm)(wv)
0.639834 0.38791 	[Landau(wv)],[Keener(0.001, +1, norm)(wv)]
0.63984 0.388085 	[CDTT(wv)],[Keener(0.001, +1, norm)(w/tv)]
0.639874 0.38781 	[MDD(sum)(wv)],[Keener(0.001, +1, norm)(wv)]
0.639937 0.387889 	[CDTT(wv)],[Keener(0.001, +1, norm)(wv)]
0.640028 0.388282 	[CGTT(wv)],[Keener(0.001, +1, norm)(w/tv)]
0.640032 0.387985 	[Schwartz(wv)],[Keener(0.001, +1, norm)(w/tv)]
0.640163 0.388287 	[CGTT(wv)],[Keener(0.001, +1, norm)(wv)]
0.640523 0.375405 	[MDD(sum)(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.640606 0.375551 	[Smith(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.64072 0.375846 	[Landau(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.640879 0.375595 	[MDD(sum)(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.640926 0.37515 	[Smith(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.641028 0.375267 	[Landau(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.643275 0.29726 	[SDom(wv)],[L-R offense/1(w/tv)]
0.643401 0.298139 	[SDom(wv)],[L-R offense/2(w/tv)]
0.643472 0.297192 	[SDom(wv)],[L-R offense/1.25(w/tv)]
0.64348 0.297511 	[SDom(wv)],[L-R offense/0.75(w/tv)]
0.643697 0.297235 	[SDom(wv)],[L-R offense/0.5(w/tv)]
0.643768 0.297392 	[SDom(wv)],[L-R offense/1.5(w/tv)]
0.643774 0.29623 	[SDom(wv)],[L-R offense/1.75(w/tv)]
0.643938 0.297278 	[SDom(wv)],[L-R offense/2.25(w/tv)]
0.644556 0.687877 	Maximin(tourn-wv)
0.644692 0.295809 	[SDom(wv)],[L-R offense/0.25(w/tv)]
0.647465 0.285199 	[SDom(wv)],[ODM-arctan(0.001)(rel-margins)]
0.647575 0.285755 	[SDom(wv)],[ODM-arctan(0.001)(fwv)]
0.647992 0.30499 	[SDom(wv)],[Keener(0.001, +1, norm)(fwv)]
0.648022 0.304989 	[SDom(wv)],[L-R both/0.5(w/tv)]
0.648032 0.304976 	[SDom(wv)],[Keener(0.001, +1, raw)(wv)]
0.648036 0.305141 	[SDom(wv)],[ODM-arctan(0.001)(w/tv)]
0.648061 0.305235 	[SDom(wv)],[Sinkhorn(0.001, +1)(fwv)]
0.648067 0.305084 	[SDom(wv)],[L-R both/2.25(wv)]
0.648082 0.305098 	[SDom(wv)],[L-R both/2.25(fwv)]
0.648123 0.305228 	[SDom(wv)],[L-R both/2(w/tv)]
0.648132 0.305075 	[SDom(wv)],[L-R both/0.25(keener)]
0.648134 0.305079 	[SDom(wv)],[L-R both/1.25(fwv)]
0.648151 0.304986 	[SDom(wv)],[L-R both/1(wv)]
0.648156 0.305312 	[SDom(wv)],[L-R both/2(fwv)]
0.648168 0.305025 	[SDom(wv)],[L-R both/0.75(fwv)]
0.648178 0.304719 	[SDom(wv)],[L-R both/0.75(w/tv)]
0.64819 0.304815 	[SDom(wv)],[L-R both/0.5(fwv)]
0.648196 0.304827 	[SDom(wv)],[L-R both/0.25(wv)]
0.648203 0.305065 	[SDom(wv)],[L-R both/0.75(wv)]
0.648208 0.304834 	[SDom(wv)],[ODM-arctan(0.001)(wv)]
0.64821 0.304972 	[SDom(wv)],[L-R both/0.25(w/tv)]
0.648218 0.304908 	[SDom(wv)],[L-R both/1.5(w/tv)]
0.648227 0.305027 	[SDom(wv)],[L-R both/1.25(w/tv)]
0.648234 0.304953 	[SDom(wv)],[L-R both/1.75(wv)]
0.648252 0.304767 	[SDom(wv)],[L-R both/1.75(w/tv)]
0.648257 0.305068 	[SDom(wv)],[L-R both/2(wv)]
0.648261 0.304912 	[SDom(wv)],[L-R both/0.5(wv)]
0.648267 0.304699 	[SDom(wv)],[L-R both/1(fwv)]
0.648271 0.304918 	[SDom(wv)],[L-R both/1(w/tv)]
0.648302 0.304757 	[SDom(wv)],[L-R both/1.75(fwv)]
0.648305 0.304904 	[SDom(wv)],[L-R both/2.25(w/tv)]
0.648308 0.304933 	[SDom(wv)],[L-R both/0.25(fwv)]
0.648333 0.30479 	[SDom(wv)],[Sinkhorn(0.001, +1)(w/tv)]
0.648373 0.304869 	[SDom(wv)],[Sinkhorn(0.001, +1)(wv)]
0.648441 0.304725 	[SDom(wv)],[L-R both/1.5(fwv)]
0.648445 0.30463 	[SDom(wv)],[L-R both/1.5(wv)]
0.648456 0.304567 	[SDom(wv)],[L-R both/1.25(wv)]
0.648545 0.298754 	[SDom(wv)],[L-R offense/1.5(keener)]
0.648933 0.292258 	[SDom(wv)],[L-R defense/0.5(keener)]
0.649111 0.365489 	[Landau(wv)],[Ext-Minmax(PO)]
0.649251 0.384499 	[Schwartz(wv)],[AVGEliminate-[NREM-Opt]/fd]
0.649254 0.298234 	[SDom(wv)],[L-R offense/1.25(keener)]
0.649286 0.297915 	[SDom(wv)],[L-R defense/0.75(keener)]
0.649317 0.365639 	[Smith(wv)],[Ext-Minmax(keener)]
0.649345 0.384629 	[Schwartz(wv)],[AVGEliminate-[Borda]/fd]
0.649348 0.365528 	[Landau(wv)],[Ext-Minmax(wv)]
0.649355 0.384487 	[CGTT(wv)],[AVGEliminate-[VoteForAgainst]/fd]
0.649361 0.365407 	[Landau(wv)],[Ext-Minmax(keener)]
0.649375 0.292174 	[SDom(wv)],[L-R offense/1.75(keener)]
0.649395 0.365389 	[MDD(sum)(wv)],[Ext-Minmax(PO)]
0.649421 0.384456 	[CDTT(wv)],[AVGEliminate-[Borda]/fd]
0.649432 0.38456 	[CGTT(wv)],[AVGEliminate-[NREM-Opt]/fd]
0.649435 0.384653 	[CDTT(wv)],[AVGEliminate-[VoteForAgainst]/fd]
0.649463 0.365483 	[Smith(wv)],[Ext-Minmax(wv)]
0.649465 0.38448 	[Schwartz(wv)],[AVGEliminate-[VoteForAgainst]/fd]
0.649471 0.365647 	[MDD(sum)(wv)],[Ext-Minmax(keener)]
0.64952 0.384557 	[CGTT(wv)],[AVGEliminate-[Borda]/fd]
0.649531 0.365699 	[MDD(sum)(wv)],[Ext-Minmax(wv)]
0.64971 0.365674 	[Smith(wv)],[Ext-Minmax(PO)]
0.649733 0.352529 	[Landau(wv)],[Mode-Ratings]
0.649773 0.384728 	[CDTT(wv)],[AVGEliminate-[NREM-Opt]/fd]
0.649857 0.298157 	[SDom(wv)],[ODM(0.001)(keener)]
0.649887 0.359334 	[MDD(sum)(wv)],[Mode-Ratings]
0.64995 0.414015 	[CGTT(wv)],[AVGEliminate-[Nauru Borda]/fd]
0.650034 0.35254 	[Smith(wv)],[Mode-Ratings]
0.650227 0.414545 	[Schwartz(wv)],[AVGEliminate-[Nauru Borda]/fd]
0.650339 0.414341 	[CDTT(wv)],[AVGEliminate-[Nauru Borda]/fd]
0.652184 0.300248 	[SDom(wv)],[ODM(0.001)(w/tv)]
0.652341 0.30063 	[SDom(wv)],[ODM(0.001)(wv)]
0.652858 0.299827 	[SDom(wv)],[Keener(0.001, +1, raw)(fwv)]
0.65288 0.300103 	[SDom(wv)],[ODM(0.001)(rel-margins)]
0.652896 0.33768 	[Landau(wv)],[Nauru Borda]
0.653111 0.23633 	[SDom(wv)],[L-R offense/0.5(PO)]
0.653136 0.236396 	[SDom(wv)],[Borda]
0.653139 0.236263 	[SDom(wv)],[L-R offense/0.25(PO)]
0.65319 0.236439 	[SDom(wv)],[L-R both/1(PO)]
0.653219 0.236152 	[SDom(wv)],[L-R both/2(PO)]
0.653253 0.299655 	[SDom(wv)],[ODM(0.001)(fwv)]
0.653264 0.235993 	[SDom(wv)],[L-R both/1(rel-margins)]
0.653269 0.236398 	[SDom(wv)],[Keener(0.001, +1, raw)(PO)]
0.653277 0.236199 	[SDom(wv)],[Cardinal-10(norm)]
0.65328 0.236362 	[SDom(wv)],[L-R defense/1(PO)]
0.65328 0.236412 	[SDom(wv)],[L-R defense/1.25(PO)]
0.653322 0.236267 	[SDom(wv)],[L-R defense/2.25(PO)]
0.653325 0.236562 	[SDom(wv)],[Cardinal-10]
0.653332 0.236077 	[SDom(wv)],[VoteForAgainst]
0.653332 0.236126 	[SDom(wv)],[L-R defense/1.75(PO)]
0.653363 0.236154 	[SDom(wv)],[L-R defense/1.5(PO)]
0.653382 0.236125 	[SDom(wv)],[L-R defense/2(PO)]
0.653389 0.236396 	[SDom(wv)],[L-R offense/0.75(PO)]
0.653453 0.236152 	[SDom(wv)],[L-R offense/1(PO)]
0.653666 0.331981 	[Condorcet],[Dodgson-Quick(PO)]
0.653785 0.337115 	[Smith(wv)],[Nauru Borda]
0.653863 0.299546 	[SDom(wv)],[HITS(0.001)(w/tv)]
0.654161 0.386962 	[Schwartz(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.654218 0.38708 	[CGTT(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.654267 0.387094 	[CGTT(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.654344 0.387321 	[Schwartz(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.654372 0.387158 	[CDTT(wv)],[Gradual-[SDom(wv)](None, ordinal)]
0.654435 0.387156 	[CDTT(wv)],[Gradual-[SDom(wv)](None, cardinal)]
0.655465 0.286284 	[SDom(wv)],[HITS(0.001)(keener)]
0.655488 0.286158 	[SDom(wv)],[L-R offense/2(keener)]
0.655488 0.286205 	[SDom(wv)],[L-R defense/0.25(keener)]
0.655501 0.286167 	[SDom(wv)],[L-R offense/2.25(keener)]
0.65585 0.23008 	[SDom(wv)],[NREM-Opt]
0.656262 0.357828 	[MDD(sum)(wv)],[Dodgson-Quick(PO)]
0.658659 0.374898 	[CDTT(wv)],[Ext-Minmax(keener)]
0.658664 0.416793 	[CDTT(wv)],[Eliminate-[Antiplurality]/fd]
0.658741 0.350073 	[Smith(wv)],[Dodgson-Quick(PO)]
0.658745 0.375164 	[Schwartz(wv)],[Ext-Minmax(wv)]
0.65875 0.375116 	[CDTT(wv)],[Ext-Minmax(PO)]
0.658764 0.374998 	[Schwartz(wv)],[Ext-Minmax(PO)]
0.658772 0.263546 	[SDom(wv)],[L-R both/0.75(rel-margins)]
0.658778 0.371612 	[CGTT(wv)],[Mode-Ratings]
0.658792 0.375131 	[CDTT(wv)],[Ext-Minmax(wv)]
0.658816 0.349932 	[Landau(wv)],[Dodgson-Quick(PO)]
0.658831 0.375124 	[Schwartz(wv)],[Ext-Minmax(keener)]
0.658851 0.418313 	[MDD(sum)(wv)],[Eliminate-[Antiplurality]/fd]
0.65887 0.375099 	[CGTT(wv)],[Ext-Minmax(keener)]
0.658915 0.417034 	[CGTT(wv)],[Eliminate-[Antiplurality]/fd]
0.658918 0.371555 	[CDTT(wv)],[Mode-Ratings]
0.658924 0.375203 	[CGTT(wv)],[Ext-Minmax(PO)]
0.658964 0.371422 	[Schwartz(wv)],[Mode-Ratings]
0.658969 0.375278 	[CGTT(wv)],[Ext-Minmax(wv)]
0.659288 0.41702 	[Schwartz(wv)],[Eliminate-[Antiplurality]/fd]
0.660293 0.239141 	[SDom(wv)],[Keener(0.001, +1, norm)(rel-margins)]
0.660558 0.377051 	[Condorcet],[Gradual-[Schwartz(wv)](None, cardinal)]
0.66066 0.377027 	[MDD(sum)(wv)],[Gradual-[Schwartz(wv)](None, ordinal)]
0.660665 0.377298 	[CGTT(wv)],[Gradual-[Schwartz(wv)](None, ordinal)]
0.660669 0.376995 	[Condorcet],[Gradual-[Schwartz(wv)](None, ordinal)]
0.660673 0.376914 	[Smith(wv)],[Gradual-[2. order Copeland/2/1](None, ordinal)]
0.660698 0.377145 	[Landau(wv)],[Gradual-[2. order Copeland/2/1](None, ordinal)]
0.660739 0.377176 	[CDTT(wv)],[Gradual-[2. order Copeland/2/1](None, cardinal)]
0.660754 0.377136 	Gradual-[2. order Copeland/2/1](None, cardinal)
0.66076 0.377047 	[CGTT(wv)],[Gradual-[Schwartz(wv)](None, cardinal)]
0.660761 0.37692 	[Landau(wv)],[Gradual-[Schwartz(wv)](None, cardinal)]
0.660771 0.377259 	[Schwartz(wv)],[Gradual-[Schwartz(wv)](None, ordinal)]
0.660787 0.377109 	[CGTT(wv)],[Gradual-[2. order Copeland/2/1](None, ordinal)]
0.660796 0.376863 	[CGTT(wv)],[Gradual-[2. order Copeland/2/1](None, cardinal)]
0.660797 0.377018 	[Smith(wv)],[Gradual-[Schwartz(wv)](None, ordinal)]
0.660809 0.377137 	[Landau(wv)],[Gradual-[Schwartz(wv)](None, ordinal)]
0.660816 0.376996 	[Condorcet],[Gradual-[2. order Copeland/2/1](None, cardinal)]
0.660831 0.377168 	[MDD(sum)(wv)],[Gradual-[Schwartz(wv)](None, cardinal)]
0.660837 0.377306 	[Schwartz(wv)],[Gradual-[2. order Copeland/2/1](None, ordinal)]
0.66084 0.376821 	[CDTT(wv)],[Gradual-[Schwartz(wv)](None, ordinal)]
0.660842 0.377089 	[CDTT(wv)],[Gradual-[2. order Copeland/2/1](None, ordinal)]
0.660843 0.377081 	[Smith(wv)],[Gradual-[Schwartz(wv)](None, cardinal)]
0.660859 0.377035 	[Schwartz(wv)],[Gradual-[2. order Copeland/2/1](None, cardinal)]
0.660892 0.377246 	[CDTT(wv)],[Gradual-[Schwartz(wv)](None, cardinal)]
0.660902 0.377074 	[MDD(sum)(wv)],[Gradual-[2. order Copeland/2/1](None, ordinal)]
0.660906 0.377142 	[Smith(wv)],[Gradual-[2. order Copeland/2/1](None, cardinal)]
0.660916 0.377065 	Gradual-[2. order Copeland/2/1](None, ordinal)
0.660922 0.377072 	[Condorcet],[Gradual-[2. order Copeland/2/1](None, ordinal)]
